"Date","Price","Open","High","Low","Change %"
"10/16/2025","11.47","11.47","11.47","11.47","-0.62%"
"10/15/2025","11.54","11.55","11.55","11.54","-1.85%"
"10/14/2025","11.76","11.92","11.92","11.76","-4.40%"
"10/13/2025","12.30","12.55","12.55","12.30","-2.19%"
"10/10/2025","12.57","12.56","12.57","12.56","0.19%"
"10/09/2025","12.55","12.55","12.55","12.55","2.31%"
"10/08/2025","12.27","12.27","12.27","12.27","-2.53%"
"10/07/2025","12.59","12.59","12.59","12.59","0.12%"
"10/06/2025","12.57","12.59","12.59","12.57","-0.43%"
"10/03/2025","12.62","12.62","12.62","12.62","-0.06%"
"10/02/2025","12.63","12.63","12.63","12.63","3.34%"
"10/01/2025","12.22","12.22","12.22","12.22","-0.04%"
"09/30/2025","12.23","12.23","12.23","12.23","0.04%"
"09/29/2025","12.22","12.23","12.23","12.22","0.10%"
"09/26/2025","12.21","12.22","12.22","12.21","-3.24%"
"09/25/2025","12.62","12.63","12.63","12.62","5.54%"
"09/24/2025","11.96","11.97","11.97","11.96","4.25%"
"09/23/2025","11.47","10.97","11.47","10.97","4.63%"
"09/22/2025","10.96","10.97","10.97","10.96","-0.59%"
"09/19/2025","11.03","11.03","11.03","11.03","-0.24%"
"09/18/2025","11.05","11.05","11.05","11.05","0.17%"
"09/17/2025","11.03","11.04","11.04","11.03","0.00%"
"09/16/2025","11.04","11.04","11.04","11.04","-0.06%"
"09/15/2025","11.04","11.04","11.04","11.04","-0.11%"
"09/11/2025","11.06","11.03","11.06","11.03","-2.72%"
"09/10/2025","11.36","11.37","11.37","11.36","6.22%"
"09/09/2025","10.70","10.70","10.70","10.70","-0.17%"
"09/08/2025","10.72","10.72","10.72","10.72","0.11%"
"09/05/2025","10.70","10.70","10.70","10.70","-0.14%"
"09/04/2025","10.72","10.72","10.72","10.72","0.28%"
"09/03/2025","10.69","10.69","10.69","10.69","0.12%"
"09/02/2025","10.68","10.68","10.68","10.68","-0.22%"
"09/01/2025","10.70","10.70","10.70","10.70","0.00%"
"08/29/2025","10.70","10.70","10.70","10.70","-3.67%"
"08/28/2025","11.11","11.13","11.13","11.11","0.09%"
"08/27/2025","11.10","11.10","11.12","11.10","-0.54%"
"08/26/2025","11.16","11.13","11.16","11.13","1.00%"
"08/25/2025","11.05","11.08","11.08","11.05","-0.54%"
"08/22/2025","11.11","11.10","11.11","11.10","0.18%"
"08/21/2025","11.09","11.09","11.09","11.09","-0.27%"
"08/20/2025","11.12","11.10","11.12","11.10","-0.27%"
"08/19/2025","11.15","11.13","11.15","11.13","0.27%"
"08/18/2025","11.12","11.15","11.15","11.12","0.09%"
"08/15/2025","11.11","11.13","11.13","11.11","-0.63%"
"08/14/2025","11.18","11.16","11.18","11.16","-0.18%"
"08/13/2025","11.20","11.16","11.20","11.16","0.81%"
"08/12/2025","11.11","11.13","11.13","11.11","-0.27%"
"08/11/2025","11.14","11.16","11.16","11.14","-14.83%"
"08/08/2025","13.08","13.10","13.10","13.08","-0.15%"
"08/07/2025","13.10","13.11","13.11","13.10","0.08%"
"08/06/2025","13.09","13.07","13.09","13.07","0.00%"
"08/05/2025","13.09","13.11","13.11","13.09","-0.38%"
"08/04/2025","13.14","13.02","13.14","13.02","0.23%"
"08/01/2025","13.11","13.12","13.12","13.11","-0.23%"
"07/31/2025","13.14","13.15","13.15","13.14","0.15%"
"07/30/2025","13.12","13.12","13.12","13.12","-0.30%"
"07/29/2025","13.16","13.13","13.16","13.13","0.38%"
"07/28/2025","13.11","13.14","13.14","13.11","0.00%"
"07/25/2025","13.11","13.09","13.11","13.09","0.38%"
"07/24/2025","13.06","13.12","13.12","13.06","-0.38%"
"07/23/2025","13.11","13.07","13.11","13.07","-0.08%"
"07/22/2025","13.12","13.11","13.12","13.11","-0.53%"
"07/21/2025","13.19","13.18","13.19","13.18","0.08%"
"07/18/2025","13.18","13.16","13.18","13.16","0.53%"
"07/17/2025","13.11","13.09","13.11","13.09","-0.53%"
"07/16/2025","13.18","13.13","13.18","13.13","0.38%"
"07/15/2025","13.13","13.13","13.13","13.13","0.08%"
"07/14/2025","13.12","13.12","13.12","13.12","0.23%"
"07/11/2025","13.09","13.09","13.09","13.09","-0.08%"
"07/10/2025","13.10","13.11","13.11","13.10","-0.15%"
"07/09/2025","13.12","13.14","13.14","13.12","0.23%"
"07/08/2025","13.09","13.10","13.10","13.09","-0.38%"
"07/07/2025","13.14","13.15","13.15","13.14","0.08%"
"07/04/2025","13.13","13.13","13.13","13.13","-0.45%"
"07/03/2025","13.19","13.18","13.19","13.18","0.23%"
"07/02/2025","13.16","13.09","13.16","13.09","-0.15%"
"07/01/2025","13.18","13.20","13.20","13.18","0.23%"
"06/30/2025","13.15","13.15","13.15","13.15","0.54%"
"06/27/2025","13.08","13.05","13.08","13.05","-0.61%"
"06/26/2025","13.16","13.14","13.16","13.14","0.46%"
"06/25/2025","13.10","13.13","13.13","13.10","-0.23%"
"06/24/2025","13.13","13.16","13.16","13.13","0.31%"
"06/23/2025","13.09","13.10","13.10","13.09","0.31%"
"06/20/2025","13.05","13.11","13.11","13.05","-0.46%"
"06/19/2025","13.11","13.12","13.12","13.11","0.08%"
"06/18/2025","13.10","13.10","13.10","13.10","-0.98%"
"06/17/2025","13.23","13.21","13.23","13.21","1.07%"
"06/16/2025","13.09","13.07","13.09","13.07","-0.38%"
"06/13/2025","13.14","13.14","13.14","13.14","-0.68%"
"06/12/2025","13.23","13.14","13.23","13.14","1.22%"
"06/11/2025","13.07","13.10","13.10","13.07","-0.68%"
"06/10/2025","13.16","13.18","13.18","13.16","0.00%"
"06/09/2025","13.16","13.19","13.19","13.16","0.53%"
"06/06/2025","13.09","13.16","13.16","13.09","-0.08%"
"06/05/2025","13.10","13.08","13.10","13.08","0.23%"
"06/04/2025","13.07","13.08","13.08","13.07","-0.68%"
"06/03/2025","13.16","13.18","13.18","13.16","0.61%"
"06/02/2025","13.08","13.08","13.08","13.08","-0.46%"
"05/30/2025","13.14","13.11","13.14","13.11","0.54%"
"05/29/2025","13.07","13.03","13.07","13.03","-0.38%"
"05/28/2025","13.12","13.10","13.12","13.10","0.00%"
"05/27/2025","13.12","13.13","13.13","13.12","0.15%"
