"Date","Price","Open","High","Low","Change %"
"11/21/2023","39.60","39.60","39.60","39.60","0.00%"
"11/20/2023","39.60","39.60","39.61","39.60","-0.03%"
"11/17/2023","39.61","39.61","39.61","39.61","0.05%"
"11/16/2023","39.59","39.59","39.59","39.59","-0.03%"
"11/15/2023","39.60","39.60","39.64","39.60","0.20%"
"11/14/2023","39.52","39.52","39.52","39.52","-0.23%"
"11/13/2023","39.61","39.61","39.61","39.61","0.03%"
"11/10/2023","39.60","39.60","39.60","39.60","0.00%"
"11/07/2023","39.60","39.60","39.60","39.60","-0.03%"
"11/06/2023","39.61","39.61","39.63","39.61","1.64%"
"11/03/2023","38.97","38.97","38.97","38.97","-1.62%"
"11/01/2023","39.61","39.61","39.61","39.61","0.00%"
"10/31/2023","39.61","39.61","39.61","39.61","0.03%"
"10/27/2023","39.60","39.60","39.60","39.60","0.00%"
"10/26/2023","39.60","39.60","39.60","39.57","-0.08%"
"10/25/2023","39.63","39.63","39.63","39.63","0.03%"
"10/23/2023","39.62","39.62","39.62","39.62","-1.81%"
"10/20/2023","40.35","39.60","40.35","39.59","1.87%"
"10/19/2023","39.61","39.61","39.61","39.60","0.03%"
"10/18/2023","39.60","39.60","39.61","39.60","-0.03%"
"10/17/2023","39.61","39.62","41.70","39.61","-0.03%"
"10/16/2023","39.62","39.62","39.62","39.62","0.08%"
"10/13/2023","39.59","39.59","39.59","39.59","-0.03%"
"10/12/2023","39.60","39.60","39.63","39.60","-0.03%"
"10/11/2023","39.61","39.61","39.61","39.61","0.15%"
"10/10/2023","39.55","39.55","39.55","39.55","-0.05%"
"10/09/2023","39.57","39.57","39.57","39.55","-0.08%"
"10/06/2023","39.60","39.60","39.63","39.60","0.03%"
"10/05/2023","39.59","39.59","39.59","39.59","-0.05%"
"10/04/2023","39.61","39.61","39.61","39.61","0.05%"
"10/03/2023","39.59","39.59","39.59","39.59","-0.05%"
"09/29/2023","39.61","39.61","39.61","39.61","0.05%"
"09/28/2023","39.59","39.59","39.59","39.59","-0.03%"
"09/27/2023","39.60","39.60","39.60","39.60","-0.03%"
"09/26/2023","39.61","39.61","39.61","39.60","-0.03%"
"09/25/2023","39.62","39.62","39.62","39.62","0.03%"
"09/22/2023","39.61","39.61","39.61","39.61","-0.03%"
"09/21/2023","39.62","39.62","39.62","39.61","0.05%"
"09/20/2023","39.60","39.60","39.60","39.59","0.38%"
"09/19/2023","39.45","39.45","39.45","39.45","0.00%"
"09/18/2023","39.45","39.45","39.45","39.45","0.00%"
"09/15/2023","39.45","39.45","39.45","39.45","0.03%"
"09/14/2023","39.44","39.44","39.44","39.44","-0.03%"
"09/13/2023","39.45","39.45","39.45","39.45","0.00%"
"09/12/2023","39.45","39.45","39.45","39.45","0.00%"
"09/11/2023","39.45","39.45","39.45","39.45","0.00%"
"09/08/2023","39.45","39.45","39.45","39.45","0.03%"
"09/06/2023","39.44","39.44","39.44","39.44","-0.03%"
"09/05/2023","39.45","39.45","39.47","39.45","0.00%"
"09/04/2023","39.45","39.45","39.45","39.45","-0.03%"
"07/17/2023","39.46","39.46","39.46","39.46","-0.08%"
"07/14/2023","39.49","39.49","39.49","39.49","0.13%"
"05/23/2023","39.44","39.44","39.44","39.44","-0.03%"
"05/22/2023","39.45","39.45","39.45","39.45","1.88%"
"05/19/2023","38.72","38.72","38.72","38.72","-8.00%"
"05/18/2023","42.09","42.09","42.09","42.09","7.00%"
"05/17/2023","39.33","39.33","39.33","39.33","-0.08%"
"05/16/2023","39.37","39.37","39.37","39.37","-0.11%"
"05/15/2023","39.41","39.41","39.41","39.41","-0.08%"
"05/12/2023","39.44","39.44","39.44","39.44","-0.10%"
"05/11/2023","39.48","39.48","39.48","39.48","0.13%"
