"Date","Price","Open","High","Low","Change %"
"10/15/2025","8.25","8.26","8.26","8.25","-3.07%"
"10/14/2025","8.51","8.51","8.51","8.51","0.00%"
"10/13/2025","8.51","8.51","8.51","8.51","-0.20%"
"10/10/2025","8.53","8.51","8.53","8.51","0.27%"
"10/09/2025","8.50","8.51","8.51","8.50","0.00%"
"10/08/2025","8.51","8.51","8.51","8.51","0.00%"
"10/07/2025","8.51","8.51","8.51","8.51","0.11%"
"10/06/2025","8.50","8.50","8.50","8.50","0.00%"
"10/03/2025","8.50","8.50","8.50","8.50","-0.06%"
"10/02/2025","8.51","8.50","8.51","8.50","-0.15%"
"10/01/2025","8.52","8.51","8.52","8.51","0.08%"
"09/30/2025","8.51","8.51","8.51","8.51","0.00%"
"09/29/2025","8.51","8.51","8.51","8.51","0.00%"
"09/26/2025","8.51","8.51","8.51","8.51","0.16%"
"09/25/2025","8.49","8.51","8.51","8.49","0.00%"
"09/24/2025","8.50","8.51","8.51","8.50","-0.16%"
"09/23/2025","8.51","8.51","8.51","8.51","0.13%"
"09/22/2025","8.50","8.62","8.62","8.50","6.20%"
"09/19/2025","8.00","8.01","8.01","8.00","0.00%"
"09/18/2025","8.00","8.01","8.01","8.00","-3.00%"
"09/17/2025","8.25","8.26","8.26","8.25","-0.12%"
"09/16/2025","8.26","8.25","8.26","8.25","0.00%"
"09/15/2025","8.26","8.25","8.26","8.25","0.12%"
"09/12/2025","8.25","8.25","8.25","8.25","-0.08%"
"09/11/2025","8.26","8.25","8.26","8.25","0.00%"
"09/10/2025","8.26","8.25","8.26","8.25","0.15%"
"09/09/2025","8.24","8.24","8.24","8.24","-0.19%"
"09/08/2025","8.26","8.25","8.26","8.25","-0.10%"
"09/05/2025","8.27","8.26","8.27","8.26","0.08%"
"09/04/2025","8.26","8.26","8.26","8.26","0.00%"
"09/03/2025","8.26","8.25","8.26","8.25","-2.78%"
"09/02/2025","8.50","8.50","8.50","8.50","2.94%"
"09/01/2025","8.25","8.25","8.25","8.25","0.00%"
"08/29/2025","8.26","8.26","8.26","8.26","3.20%"
"08/28/2025","8.00","8.01","8.01","8.00","-0.25%"
"08/27/2025","8.02","8.02","8.02","8.00","-0.12%"
"08/26/2025","8.03","8.01","8.03","8.01","0.37%"
"08/25/2025","8.00","8.00","8.00","8.00","-0.50%"
"08/22/2025","8.04","8.01","8.04","8.01","0.63%"
"08/21/2025","7.99","8.01","8.01","7.99","-0.25%"
"08/20/2025","8.01","8.00","8.01","8.00","-0.12%"
"08/19/2025","8.02","8.01","8.02","8.01","0.25%"
"08/18/2025","8.00","8.01","8.01","8.00","0.13%"
"08/15/2025","7.99","8.01","8.01","7.99","0.00%"
"08/14/2025","7.99","8.01","8.01","7.99","-0.50%"
"08/13/2025","8.03","8.01","8.03","8.01","0.12%"
"08/12/2025","8.02","8.00","8.02","8.00","0.12%"
"08/11/2025","8.01","8.01","8.01","8.01","0.25%"
"08/08/2025","7.99","8.00","8.00","7.99","-0.13%"
"08/07/2025","8.00","8.00","8.00","8.00","-0.12%"
"08/06/2025","8.01","8.00","8.01","8.00","0.13%"
"08/05/2025","8.00","8.00","8.00","8.00","-0.12%"
"08/04/2025","8.01","7.99","8.01","7.99","-0.99%"
"08/01/2025","8.09","8.00","8.09","8.00","1.13%"
"07/31/2025","8.00","8.01","8.01","8.00","0.25%"
"07/30/2025","7.98","8.00","8.00","7.98","-0.62%"
"07/29/2025","8.03","8.01","8.03","8.01","0.37%"
"07/28/2025","8.00","8.00","8.00","8.00","-0.12%"
"07/25/2025","8.01","8.01","8.01","8.01","0.25%"
"07/24/2025","7.99","8.00","8.00","7.99","0.00%"
"07/23/2025","7.99","8.00","8.00","7.99","-0.37%"
"07/22/2025","8.02","8.01","8.02","8.01","0.00%"
"07/21/2025","8.02","8.01","8.02","8.01","0.00%"
"07/18/2025","8.02","8.02","8.02","8.02","0.25%"
"07/17/2025","8.00","8.00","8.00","8.00","-0.37%"
"07/16/2025","8.03","8.01","8.03","8.01","0.63%"
"07/15/2025","7.98","8.01","8.01","7.98","-0.25%"
"07/14/2025","8.00","8.01","8.01","8.00","0.13%"
"07/11/2025","7.99","8.00","8.00","7.99","-0.13%"
"07/10/2025","8.00","8.01","8.01","8.00","-0.37%"
"07/09/2025","8.03","8.00","8.03","8.00","0.37%"
"07/08/2025","8.00","8.01","8.01","8.00","0.00%"
"07/07/2025","8.00","8.02","8.02","8.00","-0.12%"
"07/04/2025","8.01","8.01","8.01","8.01","0.38%"
"07/03/2025","7.98","8.02","8.02","7.98","-0.25%"
"07/02/2025","8.00","8.51","8.51","8.00","-5.77%"
"07/01/2025","8.49","8.52","8.52","8.49","-0.24%"
"06/30/2025","8.51","8.50","8.51","8.50","0.24%"
"06/27/2025","8.49","8.49","8.49","8.49","-0.47%"
"06/26/2025","8.53","8.51","8.53","8.51","0.24%"
"06/25/2025","8.51","8.50","8.51","8.50","-0.23%"
"06/24/2025","8.53","8.50","8.53","8.50","-0.12%"
"06/23/2025","8.54","8.50","8.54","8.50","0.23%"
"06/20/2025","8.52","8.51","8.52","8.51","0.12%"
"06/19/2025","8.51","8.51","8.51","8.51","0.00%"
"06/18/2025","8.51","8.50","8.51","8.50","-0.12%"
"06/17/2025","8.52","8.53","8.53","8.52","0.24%"
"06/16/2025","8.50","8.50","8.50","8.50","0.12%"
"06/13/2025","8.49","8.51","8.51","8.49","-0.35%"
"06/12/2025","8.52","8.51","8.52","8.51","-0.12%"
"06/11/2025","8.53","8.50","8.53","8.50","0.24%"
"06/10/2025","8.51","8.50","8.51","8.50","-0.12%"
"06/09/2025","8.52","8.52","8.52","8.52","0.59%"
"06/06/2025","8.47","8.51","8.51","8.47","-0.12%"
"06/05/2025","8.48","8.48","8.48","8.48","-0.59%"
"04/25/2025","8.53","8.51","8.53","8.51","0.47%"
"04/23/2025","8.49","8.50","8.50","8.49","-0.59%"
"04/21/2025","8.54","8.53","8.54","8.53","0.23%"
"04/18/2025","8.52","8.52","8.52","8.52","0.12%"
"04/17/2025","8.51","8.50","8.51","8.50","-0.35%"
"04/16/2025","8.54","8.53","8.54","8.53","0.00%"
"04/15/2025","8.54","8.52","8.54","8.52","-0.35%"
"04/14/2025","8.57","8.53","8.57","8.53","1.18%"
"04/11/2025","8.47","8.53","8.54","8.47","-0.82%"
"04/10/2025","8.54","8.53","8.54","8.53","1.91%"
"04/09/2025","8.38","7.98","8.38","7.98","3.97%"
"04/08/2025","8.06","7.05","8.06","7.05","15.64%"
"04/07/2025","6.97","6.57","6.97","6.57","5.93%"
"04/04/2025","6.58","6.55","6.58","6.55","-0.45%"
"04/03/2025","6.61","6.57","6.61","6.57","2.01%"
"04/02/2025","6.48","6.49","6.49","6.48","-0.77%"
"04/01/2025","6.53","6.52","6.53","6.52","8.47%"
"03/25/2025","6.02","6.01","6.02","6.01","1.01%"
"03/24/2025","5.96","5.99","5.99","5.96","-0.83%"
"03/21/2025","6.01","6.00","6.01","6.00","0.00%"
"03/20/2025","6.01","6.20","6.20","6.01","0.50%"
"03/07/2025","5.98","6.02","6.02","5.98","-0.50%"
"03/06/2025","6.01","5.99","6.01","5.99","0.67%"
"03/05/2025","5.97","5.99","5.99","5.97","-0.50%"
"03/04/2025","6.00","6.01","6.01","6.00","0.00%"
"03/03/2025","6.00","5.99","6.00","5.99","-0.50%"
"02/28/2025","6.03","6.02","6.03","6.02","0.67%"
"02/27/2025","5.99","5.99","5.99","5.99","-0.33%"
"02/26/2025","6.01","5.99","6.01","5.99","0.00%"
"02/20/2025","6.01","6.01","6.01","6.01","0.00%"
"02/19/2025","6.01","6.01","6.01","6.01","0.33%"
"02/18/2025","5.99","6.00","6.00","5.99","-0.33%"
"02/17/2025","6.01","6.01","6.01","6.01","-0.50%"
"02/14/2025","6.04","6.01","6.04","6.01","0.00%"
"02/13/2025","6.04","6.02","6.04","6.02","1.34%"
"02/12/2025","5.96","6.00","6.00","5.96","-0.50%"
"02/11/2025","5.99","6.01","6.01","5.99","-0.33%"
"02/10/2025","6.01","6.01","6.01","6.01","0.00%"
"01/21/2025","6.01","6.03","6.03","6.01","0.00%"
"01/20/2025","6.01","6.00","6.01","6.00","0.17%"
"01/17/2025","6.00","6.01","6.01","6.00","-0.50%"
"01/16/2025","6.03","6.00","6.03","6.00","-0.50%"
"01/15/2025","6.06","6.01","6.06","6.01","0.83%"
"01/14/2025","6.01","6.02","6.02","6.01","0.33%"
"01/13/2025","5.99","5.99","5.99","5.99","0.67%"
"01/10/2025","5.95","6.00","6.00","5.95","-1.00%"
"01/09/2025","6.01","6.01","6.01","6.01","0.00%"
"01/08/2025","6.01","6.01","6.01","6.01","0.33%"
"01/07/2025","5.99","6.01","6.01","5.99","-0.17%"
"01/06/2025","6.00","6.00","6.00","6.00","0.17%"
"01/03/2025","5.99","6.01","6.01","5.99","0.00%"
"01/02/2025","5.99","6.00","6.00","5.99","-0.17%"
"01/01/2025","6.00","6.00","6.00","6.00","-0.17%"
"12/31/2024","6.01","6.02","6.02","6.01","-0.50%"
"12/30/2024","6.04","6.01","6.04","6.01","0.67%"
"12/27/2024","6.00","6.01","6.01","6.00","-0.17%"
"12/26/2024","6.01","6.00","6.01","6.00","0.00%"
"12/25/2024","6.01","6.01","6.01","6.01","0.00%"
"12/24/2024","6.01","6.01","6.01","6.01","0.33%"
"12/23/2024","5.99","6.01","6.01","5.99","-0.17%"
"12/19/2024","6.00","6.00","6.00","6.00","0.50%"
"12/18/2024","5.97","6.01","6.01","5.97","-0.50%"
"12/17/2024","6.00","6.00","6.00","6.00","0.00%"
"12/16/2024","6.00","6.00","6.00","6.00","0.33%"
"12/13/2024","5.98","6.00","6.00","5.98","-0.17%"
"12/12/2024","5.99","6.00","6.00","5.99","0.00%"
"12/11/2024","5.99","6.00","6.00","5.99","0.00%"
"12/10/2024","5.99","6.01","6.01","5.99","0.00%"
"12/09/2024","5.99","6.00","6.00","5.99","-0.50%"
"12/06/2024","6.02","6.00","6.02","6.00","0.33%"
"12/05/2024","6.00","6.00","6.00","6.00","-0.33%"
"12/04/2024","6.02","6.00","6.02","6.00","0.17%"
"12/03/2024","6.01","6.00","6.01","6.00","-0.33%"
"11/29/2024","6.03","6.01","6.03","6.01","0.50%"
"11/28/2024","6.00","6.00","6.00","6.00","-0.50%"
"11/27/2024","6.03","6.01","6.03","6.01","0.67%"
"11/26/2024","5.99","6.00","6.00","5.99","-0.99%"
"11/25/2024","6.05","6.02","6.05","6.02","0.83%"
"11/22/2024","6.00","6.01","6.01","6.00","0.17%"
"11/21/2024","5.99","6.01","6.01","5.99","0.00%"
"11/20/2024","5.99","6.00","6.00","5.99","-0.50%"
"11/19/2024","6.02","6.01","6.02","6.01","0.00%"
"11/18/2024","6.02","6.01","6.02","6.01","0.00%"
"11/15/2024","6.02","6.00","6.02","6.00","0.50%"
"11/14/2024","5.99","5.99","5.99","5.99","0.00%"
"11/11/2024","5.99","6.00","6.00","5.99","0.00%"
"11/08/2024","5.99","6.01","6.01","5.99","-0.99%"
"11/07/2024","6.05","6.01","6.05","6.01","1.51%"
"11/06/2024","5.96","5.97","5.97","5.96","-0.67%"
"11/05/2024","6.00","6.01","6.01","6.00","-0.50%"
"11/04/2024","6.03","6.03","6.03","6.03","0.84%"
"11/01/2024","5.98","6.00","6.00","5.98","-0.50%"
"10/31/2024","6.01","6.01","6.01","6.01","0.50%"
"10/30/2024","5.98","6.01","6.01","5.98","-0.66%"
"10/29/2024","6.02","5.99","6.02","5.99","0.50%"
"10/28/2024","5.99","5.99","5.99","5.99","-0.17%"
"10/25/2024","6.00","6.01","6.01","6.00","-0.33%"
"10/24/2024","6.02","6.02","6.02","6.02","0.67%"
"10/23/2024","5.98","6.00","6.00","5.98","-0.33%"
"10/22/2024","6.00","6.00","6.00","6.00","0.67%"
"10/21/2024","5.96","6.01","6.01","5.96","-0.83%"
"10/18/2024","6.01","6.01","6.01","6.01","0.00%"
"10/15/2024","6.01","6.00","6.01","6.00","0.17%"
"10/14/2024","6.00","6.01","6.01","6.00","-0.33%"
"10/11/2024","6.02","6.01","6.02","6.01","0.00%"
"10/10/2024","6.02","5.99","6.02","5.99","1.86%"
"10/04/2024","5.91","6.00","6.00","5.91","-6.04%"
"10/03/2024","6.29","6.00","6.29","6.00","5.01%"
"10/02/2024","5.99","6.00","6.00","5.99","-0.66%"
"10/01/2024","6.03","6.00","6.03","6.00","4.33%"
"09/30/2024","5.78","6.00","6.00","5.78","-4.15%"
"09/27/2024","6.03","6.00","6.03","6.00","0.67%"
"09/26/2024","5.99","6.01","6.01","5.99","0.00%"
"09/25/2024","5.99","6.00","6.00","5.99","-0.66%"
"09/24/2024","6.03","6.00","6.03","6.00","3.43%"
"09/23/2024","5.83","6.00","6.00","5.83","-3.00%"
"09/20/2024","6.01","6.23","6.23","6.01","0.00%"
"09/19/2024","6.01","6.01","6.01","6.01","4.34%"
"09/18/2024","5.76","6.01","6.01","5.76","-3.84%"
"09/17/2024","5.99","6.00","6.00","5.99","-0.33%"
"09/16/2024","6.01","6.01","6.01","6.01","-0.33%"
"09/13/2024","6.03","6.03","6.03","6.03","0.50%"
"09/12/2024","6.00","6.00","6.00","6.00","0.33%"
"09/11/2024","5.98","6.02","6.02","5.98","-0.83%"
"09/10/2024","6.03","6.00","6.03","6.00","0.50%"
"09/09/2024","6.00","5.99","6.00","5.99","-0.66%"
"09/06/2024","6.04","6.01","6.04","6.01","0.50%"
"09/05/2024","6.01","6.00","6.01","6.00","-0.50%"
"09/04/2024","6.04","6.04","6.04","6.04","-4.13%"
"09/03/2024","6.30","6.00","6.00","6.30","5.00%"
"09/02/2024","6.00","6.00","6.00","6.00","0.17%"
"08/30/2024","5.99","6.00","6.01","5.97","-0.17%"
"08/29/2024","6.00","6.01","6.01","6.00","0.00%"
"08/28/2024","6.00","6.00","6.00","6.00","-0.17%"
"08/27/2024","6.01","6.00","6.01","6.00","0.67%"
"08/22/2024","5.97","6.00","6.00","5.97","-1.00%"
"08/21/2024","6.03","6.01","6.03","6.01","0.00%"
"08/20/2024","6.03","6.00","6.03","6.00","0.33%"
"08/19/2024","6.01","6.00","6.01","6.00","-0.17%"
"08/16/2024","6.02","6.01","6.02","6.01","1.18%"
"08/15/2024","5.95","6.51","6.51","5.95","-8.46%"
"08/14/2024","6.50","6.50","6.50","6.50","-0.46%"
"08/13/2024","6.53","6.51","6.53","6.51","0.00%"
"08/12/2024","6.53","6.50","6.53","6.50","0.31%"
"08/09/2024","6.51","6.52","6.52","6.51","0.46%"
"08/08/2024","6.48","6.53","6.53","6.48","-0.15%"
"08/07/2024","6.49","6.49","6.49","6.49","0.31%"
"08/06/2024","6.47","6.47","6.47","6.47","-0.61%"
"08/05/2024","6.51","6.03","6.51","6.03","6.37%"
"08/02/2024","6.12","6.01","6.12","6.01","1.16%"
"08/01/2024","6.05","6.00","6.05","6.00","0.50%"
"07/31/2024","6.02","6.00","6.02","6.00","0.00%"
"07/30/2024","6.02","6.00","6.02","6.00","0.17%"
"07/29/2024","6.01","6.02","6.02","6.01","-0.33%"
"07/26/2024","6.03","6.01","6.03","6.01","0.50%"
"07/25/2024","6.00","6.02","6.02","6.00","-0.33%"
"07/24/2024","6.02","6.00","6.02","6.00","0.00%"
"07/23/2024","6.02","6.01","6.02","6.01","0.33%"
"07/22/2024","6.00","6.01","6.01","6.00","0.17%"
"07/19/2024","5.99","6.00","6.00","5.99","0.00%"
"07/18/2024","5.99","6.00","6.00","5.99","-0.17%"
"07/17/2024","6.00","6.02","6.02","6.00","-0.33%"
"07/16/2024","6.02","6.01","6.02","6.01","0.33%"
"07/15/2024","6.00","5.99","6.00","5.99","-0.33%"
"07/12/2024","6.02","6.00","6.02","6.00","-0.66%"
"07/11/2024","6.06","6.00","6.06","6.00","0.83%"
"07/10/2024","6.01","6.00","6.01","6.00","0.17%"
"07/09/2024","6.00","6.00","6.00","6.00","0.00%"
"07/08/2024","6.00","6.00","6.00","6.00","-0.83%"
"07/05/2024","6.05","6.01","6.05","6.01","0.83%"
"07/04/2024","6.00","6.00","6.00","6.00","-0.50%"
"07/03/2024","6.03","6.00","6.03","6.00","0.17%"
"07/02/2024","6.02","6.02","6.02","6.02","0.67%"
