"Date","Price","Open","High","Low","Change %"
"10/10/2025","42.41","42.41","42.41","42.41","4.54%"
"10/09/2025","40.57","40.57","40.57","40.57","4.04%"
"10/08/2025","39.00","39.00","39.00","39.00","2.43%"
"10/07/2025","38.07","38.07","38.07","38.07","0.03%"
"10/06/2025","38.06","38.07","38.07","38.06","-0.25%"
"10/03/2025","38.15","38.15","38.15","38.15","0.87%"
"10/02/2025","37.83","37.83","37.83","37.82","-0.45%"
"10/01/2025","37.99","37.99","37.99","37.99","-0.45%"
"09/30/2025","38.17","38.17","38.17","38.17","0.79%"
"09/29/2025","37.87","37.88","37.88","37.87","0.23%"
"09/26/2025","37.78","37.95","37.95","37.78","1.16%"
"09/25/2025","37.34","37.36","37.36","37.34","5.73%"
"09/24/2025","35.32","35.33","35.33","35.32","1.17%"
"09/23/2025","34.91","34.91","34.91","34.91","-1.96%"
"09/22/2025","35.61","35.61","35.61","35.61","2.22%"
"09/19/2025","34.84","34.84","34.84","34.84","1.75%"
"09/18/2025","34.24","34.24","34.24","34.24","7.32%"
"09/17/2025","31.90","35.19","35.19","31.90","-7.95%"
"09/16/2025","34.66","34.66","34.66","34.66","-5.57%"
"09/15/2025","36.70","36.70","36.70","36.70","-3.67%"
"09/12/2025","38.10","38.10","38.10","38.09","-4.72%"
"09/11/2025","39.99","39.99","39.99","39.98","-3.12%"
"09/10/2025","41.27","41.28","41.28","41.27","-1.88%"
"09/09/2025","42.06","42.20","42.59","42.20","0.76%"
"09/08/2025","41.75","41.75","41.75","41.58","1.63%"
"09/05/2025","41.08","41.08","41.08","41.07","-1.81%"
"09/04/2025","41.83","41.83","41.83","41.83","-0.55%"
"09/03/2025","42.06","42.06","42.06","42.06","-1.44%"
"09/02/2025","42.68","42.68","42.68","42.68","-2.04%"
"09/01/2025","43.57","43.60","43.60","43.57","0.00%"
"08/29/2025","43.57","43.57","43.57","43.57","-0.32%"
"08/28/2025","43.71","43.71","43.71","43.71","2.34%"
"08/27/2025","42.71","42.71","42.72","42.71","1.09%"
"08/26/2025","42.25","42.25","42.25","42.23","0.17%"
"08/25/2025","42.18","42.20","42.20","42.18","-2.41%"
"08/22/2025","43.22","43.22","43.22","43.21","0.05%"
"08/21/2025","43.20","43.20","43.20","43.20","-0.05%"
"08/20/2025","43.22","43.22","43.22","43.20","-0.05%"
"08/19/2025","43.24","43.24","43.24","43.23","0.05%"
"08/18/2025","43.22","43.24","43.24","43.22","0.02%"
"08/15/2025","43.21","43.23","43.23","43.21","-1.23%"
"08/14/2025","43.75","43.75","43.75","43.74","-0.05%"
"08/13/2025","43.77","43.77","43.77","43.74","-2.10%"
"08/12/2025","44.71","44.73","44.73","44.71","-0.04%"
"08/11/2025","44.73","44.74","44.74","44.73","0.09%"
"08/08/2025","44.69","44.70","44.70","44.69","-0.02%"
"08/07/2025","44.70","44.71","44.71","44.70","0.02%"
"08/06/2025","44.69","44.69","44.69","44.69","1.11%"
"08/05/2025","44.20","44.20","44.20","44.20","-1.18%"
"08/04/2025","44.73","44.73","44.73","44.65","1.91%"
"08/01/2025","43.89","43.89","43.89","43.72","6.40%"
"07/31/2025","41.25","41.25","41.25","41.25","0.05%"
"07/30/2025","41.23","41.23","41.23","41.23","-0.05%"
"07/29/2025","41.25","41.25","41.25","41.23","0.07%"
"07/28/2025","41.22","41.24","41.24","41.22","-2.41%"
"07/25/2025","42.24","42.24","42.24","42.23","0.09%"
"07/24/2025","42.20","42.25","42.25","42.20","-1.24%"
"07/23/2025","42.73","42.73","42.73","42.72","-1.20%"
"07/22/2025","43.25","43.25","43.25","43.24","-0.09%"
"07/21/2025","43.29","43.29","43.29","43.29","-2.21%"
"07/18/2025","44.27","44.27","44.27","44.27","-6.23%"
"07/17/2025","47.21","47.21","47.21","47.21","-0.11%"
"07/16/2025","47.26","47.26","47.26","47.24","0.04%"
"07/15/2025","47.24","47.24","47.24","47.24","0.04%"
"07/14/2025","47.22","47.23","47.23","47.22","0.02%"
"07/11/2025","47.21","47.22","47.22","47.21","-0.02%"
"07/10/2025","47.22","47.22","47.22","47.22","-2.07%"
"07/09/2025","48.22","48.24","48.24","48.22","0.04%"
"07/08/2025","48.20","48.21","48.21","48.20","-0.06%"
"07/07/2025","48.23","48.24","48.24","48.23","0.00%"
"07/04/2025","48.23","48.23","48.23","48.23","-1.09%"
"07/03/2025","48.76","48.76","48.76","48.75","-2.44%"
"07/02/2025","49.98","49.98","49.98","49.95","-1.52%"
"07/01/2025","50.75","50.76","50.76","50.75","0.04%"
"06/30/2025","50.73","50.73","50.73","50.73","0.06%"
"06/27/2025","50.70","50.70","50.70","50.67","-0.08%"
"06/26/2025","50.74","50.74","50.74","50.73","0.06%"
"06/25/2025","50.71","50.72","50.72","50.71","2.99%"
"06/24/2025","49.24","49.24","49.24","49.22","-3.83%"
"06/23/2025","51.20","51.21","51.21","51.20","0.04%"
"06/20/2025","51.18","51.21","51.21","51.18","-0.06%"
"06/19/2025","51.21","51.21","51.21","51.21","4.04%"
"06/18/2025","49.22","49.22","49.22","49.22","2.99%"
"06/17/2025","47.79","47.79","47.79","47.77","2.31%"
"06/16/2025","46.71","46.71","46.71","46.70","-1.10%"
"06/13/2025","47.23","47.23","47.23","47.23","5.40%"
"06/12/2025","44.81","44.81","44.81","44.74","1.38%"
"06/11/2025","44.20","44.23","44.23","44.20","-3.41%"
"06/10/2025","45.76","45.76","45.76","45.76","-4.17%"
"06/09/2025","47.75","47.76","47.76","47.75","-2.99%"
"06/06/2025","49.22","49.26","49.26","49.22","-1.01%"
"06/05/2025","49.72","49.72","49.72","49.71","-2.87%"
"06/04/2025","51.19","51.20","51.20","51.19","-1.08%"
"06/03/2025","51.75","51.75","51.75","51.75","-0.84%"
"06/02/2025","52.19","52.19","52.19","52.19","1.87%"
"05/30/2025","51.23","51.23","51.23","51.22","1.05%"
"05/29/2025","50.70","50.70","50.70","50.67","-2.01%"
"05/28/2025","51.74","51.74","51.74","51.72","-2.82%"
"05/27/2025","53.24","53.24","53.24","53.24","0.04%"
"05/26/2025","53.22","53.22","53.22","53.22","-0.11%"
"05/23/2025","53.28","53.28","53.28","53.25","-1.79%"
"05/22/2025","54.25","54.25","54.25","54.25","2.94%"
"05/21/2025","52.70","52.70","52.70","52.70","-0.09%"
"05/20/2025","52.75","52.76","52.76","52.75","-0.86%"
"05/19/2025","53.21","53.23","53.23","53.21","1.76%"
"05/16/2025","52.29","52.29","52.29","52.28","0.00%"
"05/15/2025","52.29","52.29","52.29","52.29","1.02%"
"05/14/2025","51.76","51.78","51.78","51.76","-0.06%"
"05/13/2025","51.79","51.79","51.79","51.79","-3.39%"
"05/12/2025","53.61","53.64","53.64","53.61","-5.53%"
"05/09/2025","56.75","56.76","56.76","56.75","-2.46%"
"05/08/2025","58.18","58.20","58.20","58.18","-1.72%"
