"Date","Price","Open","High","Low","Change %"
"10/09/2025","8.76","8.76","8.76","8.76","0.00%"
"10/08/2025","8.76","8.76","8.76","8.76","-0.06%"
"10/07/2025","8.77","8.76","8.77","8.76","-2.68%"
"10/06/2025","9.01","9.01","9.01","9.01","2.88%"
"10/03/2025","8.75","8.76","8.76","8.75","-0.08%"
"10/02/2025","8.76","8.76","8.76","8.76","-0.14%"
"10/01/2025","8.77","8.76","8.77","8.76","0.07%"
"09/30/2025","8.77","8.76","8.77","8.76","2.96%"
"09/29/2025","8.52","8.51","8.52","8.51","-2.81%"
"09/26/2025","8.76","8.76","8.76","8.76","0.14%"
"09/25/2025","8.75","8.76","8.76","8.75","0.00%"
"09/24/2025","8.75","8.76","8.76","8.75","14.57%"
"09/23/2025","7.64","7.64","7.64","7.64","-10.17%"
"09/22/2025","8.51","8.43","8.51","8.43","17.20%"
"09/19/2025","7.26","7.26","7.26","7.26","0.00%"
"09/18/2025","7.25","7.26","7.26","7.25","-3.31%"
"09/17/2025","7.50","7.51","7.51","7.50","-0.15%"
"09/16/2025","7.51","7.51","7.51","7.51","3.44%"
"09/15/2025","7.26","7.26","7.26","7.26","-6.33%"
"09/12/2025","7.75","7.76","7.76","7.75","6.79%"
"09/11/2025","7.26","7.26","7.26","7.26","-3.34%"
"09/10/2025","7.51","7.51","7.51","7.51","0.16%"
"09/09/2025","7.50","7.50","7.50","7.50","-3.43%"
"09/08/2025","7.76","8.01","8.01","7.76","-6.13%"
"09/05/2025","8.27","8.26","8.27","8.26","0.07%"
"09/04/2025","8.27","8.26","8.27","8.26","0.00%"
"09/03/2025","8.27","8.26","8.27","8.26","-2.78%"
"09/02/2025","8.50","8.26","8.50","8.26","2.94%"
"09/01/2025","8.26","8.26","8.26","8.26","0.00%"
"08/29/2025","8.26","8.26","8.26","8.26","3.11%"
"08/28/2025","8.01","8.01","8.01","8.01","-0.25%"
"08/27/2025","8.03","8.03","8.03","8.01","0.00%"
"08/26/2025","8.03","8.02","8.03","8.02","0.37%"
"08/25/2025","8.00","8.00","8.00","8.00","-0.62%"
"08/22/2025","8.05","8.01","8.05","8.01","0.63%"
"08/21/2025","8.00","8.01","8.01","8.00","-0.25%"
"08/20/2025","8.02","8.01","8.02","8.01","-0.12%"
"08/19/2025","8.03","8.01","8.03","8.01","0.25%"
