"Date","Price","Open","High","Low","Change %"
"10/15/2025","380.95","385.58","385.58","380.95","-2.90%"
"10/14/2025","392.35","392.37","392.37","392.35","0.20%"
"10/13/2025","391.57","391.57","391.57","390.12","0.00%"
"10/10/2025","391.57","391.57","391.57","384.10","3.78%"
"10/09/2025","377.32","382.04","382.04","377.32","-1.68%"
"10/08/2025","383.75","383.75","383.75","383.70","-0.38%"
"10/07/2025","385.20","385.25","385.25","385.20","-1.72%"
"10/06/2025","391.94","391.94","391.94","391.89","2.64%"
"10/03/2025","381.88","381.91","381.91","381.88","-0.63%"
"10/02/2025","384.31","395.66","395.66","384.31","-1.67%"
"10/01/2025","390.84","391.06","391.06","390.84","-2.71%"
"09/30/2025","401.75","406.57","406.57","401.75","-4.63%"
"09/29/2025","421.27","429.27","429.27","421.27","-2.16%"
"09/26/2025","430.56","434.07","434.07","430.56","-1.64%"
"09/25/2025","437.76","437.76","437.76","432.67","2.56%"
"09/24/2025","426.84","426.84","426.84","425.09","0.60%"
"09/23/2025","424.30","424.39","424.39","424.30","0.24%"
"09/22/2025","423.30","423.30","423.30","420.85","7.02%"
"09/19/2025","395.55","395.55","395.55","387.08","4.64%"
"09/18/2025","378.01","378.01","378.01","377.91","-0.28%"
"09/17/2025","379.07","380.34","380.34","379.07","-0.39%"
"09/16/2025","380.56","380.63","380.63","380.56","0.47%"
"09/15/2025","378.79","383.90","383.90","378.79","-3.46%"
"09/12/2025","392.35","392.35","392.35","392.30","-0.40%"
"09/11/2025","393.93","404.07","404.07","393.93","-4.67%"
"09/10/2025","413.22","416.67","416.67","413.22","-0.69%"
"09/09/2025","416.10","416.10","416.10","416.10","-2.52%"
"09/08/2025","426.84","432.09","432.09","426.84","-0.73%"
"09/05/2025","429.97","431.96","431.96","429.97","-0.79%"
"09/04/2025","433.40","436.94","436.94","433.40","-1.30%"
"09/03/2025","439.11","440.99","440.99","439.11","-1.20%"
"09/02/2025","444.45","435.79","444.45","435.79","3.38%"
"09/01/2025","429.93","429.93","429.93","429.92","-0.74%"
"08/29/2025","433.12","434.84","434.84","433.12","3.00%"
"08/28/2025","420.49","437.50","437.50","420.49","-3.85%"
"08/27/2025","437.34","437.34","437.66","437.34","-0.03%"
"08/26/2025","437.49","437.49","437.49","431.00","1.55%"
"08/25/2025","430.82","430.82","430.82","430.77","0.19%"
"08/22/2025","430.01","451.35","451.35","430.01","-4.70%"
"08/21/2025","451.22","451.22","451.22","450.86","0.13%"
"08/20/2025","450.63","450.63","450.63","440.44","2.35%"
"08/19/2025","440.29","440.53","440.53","440.29","0.00%"
"08/18/2025","440.31","440.31","440.31","440.10","0.16%"
"08/15/2025","439.59","439.59","439.59","439.28","0.09%"
