"Date","Price","Open","High","Low","Change %"
"10/16/2025","24.19","24.14","24.19","24.14","-0.68%"
"10/15/2025","24.36","24.89","24.89","24.36","-3.18%"
"10/14/2025","25.16","25.15","25.16","25.15","2.09%"
"10/13/2025","24.65","24.63","24.65","24.63","-2.28%"
"10/10/2025","25.22","25.14","25.22","25.14","0.38%"
"10/09/2025","25.12","25.14","25.14","25.12","-0.98%"
"10/08/2025","25.37","25.64","25.64","25.37","-1.07%"
"10/07/2025","25.65","25.64","25.65","25.64","0.16%"
"10/06/2025","25.61","25.89","25.89","25.61","0.89%"
"10/03/2025","25.38","25.40","25.40","25.38","-2.01%"
"10/02/2025","25.90","25.90","25.90","25.90","-0.23%"
"10/01/2025","25.96","25.91","25.96","25.91","0.61%"
"09/30/2025","25.80","25.79","25.80","25.79","0.52%"
"09/29/2025","25.67","25.66","25.67","25.66","-0.91%"
"09/26/2025","25.91","25.91","25.91","25.91","0.22%"
"09/25/2025","25.85","25.91","25.91","25.85","0.87%"
"09/24/2025","25.62","25.65","25.65","25.62","0.29%"
"09/23/2025","25.55","24.21","25.55","24.21","-1.26%"
"09/22/2025","25.87","25.89","25.89","25.87","10.83%"
"09/19/2025","23.35","23.61","23.61","23.35","-2.56%"
"09/18/2025","23.96","23.99","23.99","23.96","-0.48%"
"09/17/2025","24.08","24.11","24.11","24.08","0.88%"
"09/16/2025","23.87","23.85","23.87","23.85","1.03%"
"09/15/2025","23.62","24.10","24.10","23.62","-3.92%"
"09/12/2025","24.59","24.60","24.60","24.59","-0.12%"
"09/11/2025","24.61","24.86","24.86","24.61","-2.00%"
"09/10/2025","25.12","25.10","25.12","25.10","1.20%"
"09/09/2025","24.82","26.23","37.30","26.23","-5.05%"
"09/08/2025","26.14","26.11","26.14","26.11","-1.09%"
"09/05/2025","26.43","26.37","26.43","26.37","-2.66%"
"09/04/2025","27.15","27.62","27.62","27.15","-0.22%"
"09/03/2025","27.21","27.42","27.42","27.21","-1.38%"
"09/02/2025","27.59","27.61","27.61","27.59","-0.10%"
"09/01/2025","27.61","27.62","27.62","27.61","-0.03%"
"08/29/2025","27.62","27.62","27.62","27.62","-0.35%"
"08/28/2025","27.72","27.74","27.74","27.72","-0.25%"
"08/27/2025","27.79","27.79","27.79","27.22","1.72%"
"08/26/2025","27.32","26.25","27.32","26.25","4.31%"
"08/25/2025","26.19","26.19","26.19","26.19","-0.76%"
"08/22/2025","26.39","26.24","26.39","26.24","0.88%"
"08/21/2025","26.16","26.23","26.23","26.16","-0.34%"
"08/20/2025","26.25","26.22","26.25","26.22","-0.11%"
"08/19/2025","26.28","26.23","26.28","26.23","0.27%"
"08/18/2025","26.21","26.24","26.24","26.21","0.15%"
"08/15/2025","26.17","27.24","27.24","26.17","-3.61%"
"08/14/2025","27.15","27.24","27.24","27.15","-0.59%"
"08/13/2025","27.31","27.23","27.31","27.23","0.11%"
"08/12/2025","27.28","27.22","27.28","27.22","0.15%"
"08/11/2025","27.24","27.24","27.24","27.24","0.29%"
"08/08/2025","27.16","27.20","27.20","27.16","-0.11%"
"08/07/2025","27.19","27.21","27.21","27.19","-0.26%"
"08/06/2025","27.26","27.21","27.26","27.21","0.26%"
"08/05/2025","27.19","27.22","27.22","27.19","-0.22%"
"08/04/2025","27.25","27.18","27.25","27.18","-1.27%"
"08/01/2025","27.60","27.22","27.60","27.22","1.43%"
"07/31/2025","27.21","27.25","27.25","27.21","0.29%"
"07/30/2025","27.13","27.23","27.23","27.13","-0.70%"
"07/29/2025","27.32","27.75","27.75","27.32","-1.44%"
"07/28/2025","27.72","27.72","27.72","27.72","-0.07%"
"07/25/2025","27.74","27.74","27.74","27.74","0.25%"
"07/24/2025","27.67","27.73","27.73","27.67","0.04%"
"07/23/2025","27.66","27.71","27.71","27.66","-0.50%"
"07/22/2025","27.80","27.75","27.80","27.75","0.04%"
"07/21/2025","27.79","28.24","28.24","27.79","-1.80%"
"07/18/2025","28.30","28.78","28.78","28.30","-1.39%"
"07/17/2025","28.70","28.71","28.71","28.70","-0.52%"
"07/16/2025","28.85","28.75","28.85","28.75","0.70%"
"07/15/2025","28.65","28.74","28.74","28.65","-0.28%"
"07/14/2025","28.73","28.75","28.75","28.73","0.17%"
"07/11/2025","28.68","28.73","28.73","28.68","-0.17%"
"07/10/2025","28.73","29.25","29.25","28.73","-2.01%"
"07/09/2025","29.32","29.24","29.32","29.24","0.38%"
"07/08/2025","29.21","29.77","29.77","29.21","-1.75%"
"07/07/2025","29.73","30.29","30.29","29.73","-1.75%"
"07/04/2025","30.26","30.26","30.26","30.26","0.43%"
"07/03/2025","30.13","30.29","30.29","30.13","-0.30%"
"07/02/2025","30.22","30.26","30.26","30.22","0.07%"
"07/01/2025","30.20","30.29","30.29","30.20","-0.26%"
"06/30/2025","30.28","30.23","30.28","30.23","0.30%"
"06/27/2025","30.19","30.20","30.20","30.19","-0.49%"
"06/26/2025","30.34","30.78","30.78","30.34","-1.40%"
"06/25/2025","30.77","31.24","31.24","30.77","-1.79%"
"06/24/2025","31.33","31.75","31.75","31.33","-1.79%"
"06/23/2025","31.90","31.73","31.90","31.73","0.28%"
"06/20/2025","31.81","31.77","31.81","31.77","0.13%"
"06/19/2025","31.77","31.26","31.77","31.26","1.44%"
"06/18/2025","31.32","31.24","31.32","31.24","-0.03%"
"06/17/2025","31.33","31.34","31.34","31.33","0.32%"
"06/16/2025","31.23","31.73","31.73","31.23","-1.48%"
"06/13/2025","31.70","31.28","31.70","31.28","1.25%"
"06/12/2025","31.31","31.27","31.31","31.27","-0.19%"
"06/11/2025","31.37","31.25","31.37","31.25","0.38%"
"06/10/2025","31.25","31.24","31.25","31.24","-0.26%"
"06/09/2025","31.33","31.81","31.81","31.33","-0.89%"
"06/06/2025","31.61","31.78","31.78","31.61","-0.19%"
"06/05/2025","31.67","32.25","32.25","31.67","-2.16%"
"06/04/2025","32.37","32.76","32.76","32.37","-1.07%"
"06/03/2025","32.72","33.27","33.27","32.72","-1.42%"
"06/02/2025","33.19","33.77","33.77","33.19","-1.86%"
"05/30/2025","33.82","33.77","33.82","33.77","-0.06%"
"05/29/2025","33.84","34.20","34.20","33.84","-1.20%"
"05/28/2025","34.25","34.25","34.25","34.25","-0.17%"
"05/27/2025","34.31","34.78","34.78","34.31","-1.32%"
"05/26/2025","34.77","34.75","34.77","34.75","-0.17%"
"05/23/2025","34.83","34.80","34.83","34.80","0.03%"
"05/22/2025","34.82","34.28","34.82","34.28","1.78%"
"05/21/2025","34.21","34.76","34.76","34.21","-1.64%"
"05/20/2025","34.78","35.27","35.27","34.78","-1.53%"
"05/19/2025","35.32","34.77","35.32","34.77","1.55%"
"05/16/2025","34.78","34.81","34.81","34.78","-0.43%"
"05/15/2025","34.93","34.80","34.93","34.80","0.58%"
"05/14/2025","34.73","34.81","34.81","34.73","-0.12%"
"05/13/2025","34.77","34.82","34.82","34.77","0.49%"
"05/12/2025","34.60","35.25","35.25","34.60","-1.98%"
"05/09/2025","35.30","35.33","35.33","35.30","0.63%"
"05/08/2025","35.08","36.26","36.26","35.08","-3.44%"
"05/07/2025","36.33","36.28","36.33","36.28","-0.08%"
"05/06/2025","36.36","36.28","36.36","36.28","0.25%"
"05/05/2025","36.27","36.31","36.31","36.27","0.47%"
"05/02/2025","36.10","36.26","36.26","36.10","-0.17%"
"05/01/2025","36.16","36.76","36.76","36.16","-1.90%"
"04/30/2025","36.86","36.29","36.86","36.29","1.35%"
"04/29/2025","36.37","36.79","36.79","36.37","-1.38%"
"04/28/2025","36.88","36.80","36.88","36.80","0.08%"
"04/25/2025","36.85","37.29","37.29","36.85","-1.47%"
"04/24/2025","37.40","37.84","37.84","37.40","-0.87%"
"04/23/2025","37.73","37.78","37.78","37.73","-0.08%"
"04/22/2025","37.76","38.30","38.30","37.76","-1.69%"
"04/21/2025","38.41","38.38","38.41","38.38","0.18%"
"04/18/2025","38.34","38.34","38.34","38.34","0.13%"
"04/17/2025","38.29","38.77","38.77","38.29","-1.57%"
"04/16/2025","38.90","38.35","38.90","38.35","1.30%"
"04/15/2025","38.40","38.84","38.84","38.40","-1.54%"
"04/14/2025","39.00","40.37","40.37","39.00","-2.91%"
"04/11/2025","40.17","38.37","40.17","38.37","4.55%"
"04/10/2025","38.42","40.37","40.37","38.42","-3.76%"
"04/09/2025","39.92","36.18","39.92","36.18","9.49%"
"04/08/2025","36.46","37.44","37.44","36.46","-1.88%"
"04/07/2025","37.16","35.51","37.16","35.51","4.76%"
"04/04/2025","35.47","34.43","35.47","34.43","2.43%"
"04/03/2025","34.63","33.99","34.63","33.99","2.73%"
"04/02/2025","33.71","33.73","33.73","33.71","-0.47%"
"04/01/2025","33.87","33.83","33.87","33.83","-1.25%"
"03/31/2025","34.30","33.37","34.30","33.37","2.51%"
"03/28/2025","33.46","32.80","33.46","32.80","2.01%"
"03/27/2025","32.80","32.79","32.80","32.79","0.12%"
"03/26/2025","32.76","32.75","32.76","32.75","-0.21%"
"03/25/2025","32.83","32.80","32.83","32.80","0.58%"
"03/24/2025","32.64","33.74","33.74","32.64","-3.46%"
"03/21/2025","33.81","33.31","33.81","33.31","1.35%"
"03/20/2025","33.36","33.33","33.36","33.33","10.46%"
"03/19/2025","30.20","30.24","30.24","30.20","-0.23%"
"03/18/2025","30.27","30.27","30.27","30.27","0.13%"
"03/17/2025","30.23","30.76","30.76","30.23","-1.34%"
"03/14/2025","30.64","31.22","31.22","30.64","-2.17%"
"03/13/2025","31.32","29.78","31.32","29.78","5.56%"
"03/12/2025","29.67","30.27","30.27","29.67","-1.66%"
"03/11/2025","30.17","30.33","30.33","30.17","-0.92%"
"03/10/2025","30.45","30.29","30.45","30.29","0.89%"
"03/07/2025","30.18","29.79","30.18","29.79","1.31%"
"03/06/2025","29.79","28.67","29.79","28.67","4.16%"
"03/05/2025","28.60","30.19","30.19","28.60","-5.36%"
"03/04/2025","30.22","29.77","30.22","29.77","0.10%"
"03/03/2025","30.19","30.19","30.19","29.74","1.27%"
"02/28/2025","29.81","29.81","30.34","29.81","0.34%"
"02/27/2025","29.71","29.71","29.72","29.71","0.10%"
"02/26/2025","29.68","29.68","29.79","29.68","-1.98%"
"02/25/2025","30.28","30.28","30.28","29.90","-4.57%"
"02/24/2025","31.73","31.73","31.73","30.29","-0.16%"
"02/21/2025","31.78","31.78","31.89","31.78","0.00%"
"02/20/2025","31.78","31.78","31.78","31.78","0.03%"
"02/19/2025","31.77","31.77","31.77","31.77","0.13%"
"02/18/2025","31.73","31.73","31.73","31.69","-0.09%"
"02/17/2025","31.76","31.76","31.78","31.76","-0.06%"
"02/14/2025","31.78","31.78","31.88","31.78","-3.11%"
"02/13/2025","32.80","32.80","32.80","31.88","0.12%"
"02/12/2025","32.76","32.76","32.76","32.61","-0.03%"
"02/11/2025","32.77","32.77","32.77","32.74","0.00%"
"02/10/2025","32.77","32.77","32.78","32.77","0.06%"
"02/07/2025","32.75","32.75","32.75","32.67","-1.53%"
"02/06/2025","33.26","33.26","33.26","32.74","-0.03%"
"02/05/2025","33.27","33.27","33.37","33.27","-1.45%"
"02/04/2025","33.76","33.76","33.76","33.33","1.50%"
"02/03/2025","33.26","33.26","33.72","33.26","1.59%"
"01/31/2025","32.74","32.74","33.22","32.74","-0.15%"
"01/30/2025","32.79","32.79","32.81","32.79","-0.03%"
"01/29/2025","32.80","32.80","32.80","32.73","-4.21%"
"01/28/2025","34.24","34.24","34.24","32.76","-0.20%"
"01/27/2025","34.31","34.31","34.41","34.31","-0.03%"
"01/24/2025","34.32","34.32","34.32","34.30","0.12%"
"01/23/2025","34.28","34.28","34.28","34.28","0.09%"
"01/22/2025","34.25","34.25","34.25","34.25","-0.38%"
"01/21/2025","34.38","34.38","34.38","34.30","0.29%"
"01/20/2025","34.28","34.28","34.30","34.28","-1.47%"
"01/17/2025","34.79","34.79","34.79","34.26","0.03%"
"01/16/2025","34.78","34.78","34.85","34.78","-1.50%"
"01/15/2025","35.31","35.31","35.31","34.98","-2.83%"
"01/14/2025","36.34","36.34","36.34","35.33","1.62%"
