"Date","Price","Open","High","Low","Change %"
"10/09/2025","39.96","40.21","40.21","39.96","-1.23%"
"10/08/2025","40.46","40.70","40.70","40.46","-1.21%"
"10/07/2025","40.95","40.71","40.95","40.71","0.58%"
"10/06/2025","40.71","39.72","40.71","39.72","6.53%"
"10/03/2025","38.22","38.22","38.22","38.22","-0.63%"
"10/02/2025","38.46","38.47","38.47","38.46","0.03%"
"10/01/2025","38.45","38.46","38.46","38.45","0.31%"
"09/30/2025","38.33","38.59","38.59","38.33","-0.33%"
"09/29/2025","38.46","38.46","38.46","38.46","-1.29%"
"09/26/2025","38.96","38.96","38.96","38.96","0.04%"
"09/25/2025","38.95","38.43","38.95","38.43","0.91%"
"09/24/2025","38.60","38.59","38.60","38.59","1.01%"
"09/23/2025","38.21","38.21","38.21","38.21","0.63%"
"09/22/2025","37.97","37.87","37.97","37.87","9.32%"
"09/19/2025","34.73","34.98","34.98","34.73","-0.71%"
"09/18/2025","34.98","34.98","34.98","34.98","0.00%"
"09/17/2025","34.98","34.73","34.98","34.73","1.46%"
"09/16/2025","34.48","34.48","34.48","34.48","0.00%"
"09/15/2025","34.48","34.23","34.48","34.23","1.45%"
"09/12/2025","33.98","33.98","33.98","33.98","0.00%"
"09/11/2025","33.98","33.98","33.98","33.98","0.00%"
"09/10/2025","33.98","33.98","33.98","33.98","-0.75%"
"09/09/2025","34.24","34.24","34.24","34.24","-4.16%"
"09/08/2025","35.72","36.23","36.23","35.72","-1.36%"
"09/05/2025","36.22","36.22","36.22","36.22","0.00%"
"09/04/2025","36.22","36.97","36.97","36.22","-4.60%"
"09/03/2025","37.97","38.22","38.22","37.97","-0.68%"
"09/02/2025","38.23","37.72","38.23","37.72","2.01%"
"09/01/2025","37.47","37.47","37.47","37.47","0.00%"
"08/29/2025","37.47","37.47","37.47","37.47","0.09%"
"08/28/2025","37.44","37.94","37.94","37.44","-1.29%"
"08/27/2025","37.93","37.93","37.93","35.95","5.57%"
"08/26/2025","35.93","33.46","35.93","33.46","7.35%"
"08/25/2025","33.47","33.46","33.47","33.46","0.09%"
"08/22/2025","33.44","33.46","33.46","33.44","-0.09%"
"08/21/2025","33.47","32.96","33.47","32.96","1.55%"
"08/20/2025","32.96","32.47","32.96","32.47","1.54%"
"08/19/2025","32.46","32.47","32.47","32.46","-0.03%"
"08/18/2025","32.47","32.46","32.47","32.46","0.00%"
"08/15/2025","32.47","32.96","32.96","32.47","-1.52%"
"08/14/2025","32.97","32.96","32.97","32.96","0.06%"
"08/13/2025","32.95","32.96","32.96","32.95","-0.03%"
"08/12/2025","32.96","32.96","32.96","32.96","0.00%"
"08/11/2025","32.96","32.96","32.96","32.96","-0.03%"
"08/08/2025","32.97","32.97","32.97","32.97","0.00%"
"08/07/2025","32.97","32.96","32.97","32.96","0.03%"
"08/06/2025","32.96","32.96","32.96","32.96","-0.03%"
"08/05/2025","32.97","32.96","32.97","32.96","0.03%"
"08/04/2025","32.96","32.97","32.97","32.96","0.12%"
"08/01/2025","32.92","32.96","32.96","32.92","-0.12%"
"07/31/2025","32.96","32.96","32.96","32.96","-0.03%"
"07/30/2025","32.97","32.96","32.97","32.96","0.06%"
"07/29/2025","32.95","32.96","32.96","32.95","-0.03%"
"07/28/2025","32.96","32.96","32.96","32.96","0.00%"
"07/25/2025","32.96","32.46","32.96","32.46","1.51%"
"07/24/2025","32.47","32.46","32.47","32.46","0.00%"
"07/23/2025","32.47","32.96","32.96","32.47","-1.46%"
"07/22/2025","32.95","32.46","32.95","32.46","1.51%"
"07/21/2025","32.46","33.46","33.46","32.46","-2.96%"
"07/18/2025","33.45","33.95","33.95","33.45","-1.50%"
"07/17/2025","33.96","33.96","33.96","33.96","0.06%"
"07/16/2025","33.94","33.46","33.94","33.46","1.40%"
"07/15/2025","33.47","33.46","33.47","33.46","0.03%"
"07/14/2025","33.46","33.46","33.46","33.46","-0.03%"
"07/11/2025","33.47","33.96","33.96","33.47","-1.44%"
"07/10/2025","33.96","33.95","33.96","33.95","0.03%"
"07/09/2025","33.95","33.96","33.96","33.95","-0.03%"
"07/08/2025","33.96","33.95","33.96","33.95","0.00%"
"07/07/2025","33.96","33.95","33.96","33.95","0.03%"
"07/04/2025","33.95","33.95","33.95","33.95","-0.06%"
"07/03/2025","33.97","33.95","33.97","33.95","0.03%"
"07/02/2025","33.96","33.96","33.96","33.96","0.00%"
"07/01/2025","33.96","33.95","33.96","33.95","0.03%"
"06/30/2025","33.95","33.96","33.96","33.95","-0.03%"
"06/27/2025","33.96","34.46","34.46","33.96","-1.39%"
"06/26/2025","34.44","34.45","34.45","34.44","-0.03%"
"06/25/2025","34.45","34.46","34.46","34.45","0.03%"
"06/24/2025","34.44","34.95","34.95","34.44","-1.43%"
"06/23/2025","34.94","34.95","34.95","34.94","0.00%"
"06/20/2025","34.94","34.95","34.95","34.94","-0.03%"
"06/19/2025","34.95","33.96","34.95","33.96","2.95%"
"06/18/2025","33.95","33.96","33.96","33.95","0.00%"
"06/17/2025","33.95","33.95","33.95","33.95","-0.03%"
"06/16/2025","33.96","34.46","34.46","33.96","-1.45%"
"06/13/2025","34.46","33.95","34.46","33.95","1.50%"
"06/12/2025","33.95","33.46","33.95","33.46","1.53%"
"06/11/2025","33.44","33.46","33.46","33.44","-0.06%"
"06/10/2025","33.46","33.96","33.96","33.46","-1.44%"
"06/09/2025","33.95","34.45","34.45","33.95","-1.54%"
"06/06/2025","34.48","34.45","34.48","34.45","0.03%"
"06/05/2025","34.47","34.46","34.47","34.46","0.09%"
"06/04/2025","34.44","34.95","34.95","34.44","-1.49%"
"06/03/2025","34.96","35.45","35.45","34.96","-1.41%"
"06/02/2025","35.46","35.94","35.94","35.46","-1.34%"
"05/30/2025","35.94","36.44","36.44","35.94","-1.35%"
"05/29/2025","36.43","36.45","36.45","36.43","-0.05%"
"05/28/2025","36.45","36.44","36.45","36.44","0.05%"
"05/27/2025","36.43","37.43","37.43","36.43","-2.70%"
"05/26/2025","37.44","37.44","37.44","37.44","0.05%"
"05/23/2025","37.42","36.93","37.42","36.93","1.33%"
"05/22/2025","36.93","36.94","36.94","36.93","-0.05%"
"05/21/2025","36.95","36.44","36.95","36.44","1.40%"
"05/20/2025","36.44","37.44","37.44","36.44","-2.62%"
"05/19/2025","37.42","36.94","37.42","36.94","1.30%"
"05/16/2025","36.94","36.93","36.94","36.93","0.08%"
"05/15/2025","36.91","36.93","36.93","36.91","-0.11%"
"05/14/2025","36.95","36.93","36.95","36.93","0.03%"
"05/13/2025","36.94","36.93","36.94","36.93","-0.08%"
"05/12/2025","36.97","38.43","38.43","36.97","-3.77%"
"05/09/2025","38.42","38.42","38.42","38.42","-0.13%"
"05/08/2025","38.47","39.42","39.42","38.47","-2.39%"
"05/07/2025","39.41","39.42","39.42","39.41","0.03%"
"05/06/2025","39.40","39.42","39.42","39.40","-0.08%"
"05/05/2025","39.43","39.41","39.43","39.41","-0.08%"
"05/02/2025","39.46","39.43","39.46","39.43","0.03%"
"05/01/2025","39.45","39.43","39.45","39.43","0.13%"
"04/30/2025","39.40","38.92","39.40","38.92","1.26%"
"04/29/2025","38.91","38.93","38.93","38.91","0.03%"
"04/28/2025","38.90","39.91","39.91","38.90","-2.53%"
"04/25/2025","39.91","39.92","39.92","39.91","0.05%"
"04/24/2025","39.89","40.41","40.41","39.89","-1.34%"
"04/23/2025","40.43","41.42","41.42","40.43","-2.39%"
"04/22/2025","41.42","40.91","41.42","40.91","1.30%"
"04/21/2025","40.89","40.89","40.89","40.89","-0.02%"
"04/18/2025","40.90","40.90","40.90","40.90","-0.05%"
"04/17/2025","40.92","40.92","40.92","40.92","0.07%"
"04/16/2025","40.89","40.40","40.89","40.40","1.24%"
"04/15/2025","40.39","40.91","40.91","40.39","-1.15%"
