"Date","Price","Open","High","Low","Change %"
"10/09/2025","21.85","21.87","21.87","21.85","-1.13%"
"10/08/2025","22.10","22.12","22.12","22.10","-0.11%"
"10/07/2025","22.13","22.11","22.13","22.11","0.20%"
"10/06/2025","22.08","21.85","22.08","21.85","2.31%"
"10/03/2025","21.58","21.85","21.85","21.58","-1.24%"
"10/02/2025","21.86","21.85","21.86","21.85","0.30%"
"10/01/2025","21.79","21.74","21.79","21.74","-0.42%"
"09/30/2025","21.88","21.87","21.88","21.87","1.19%"
"09/29/2025","21.63","21.62","21.63","21.62","-2.20%"
"09/26/2025","22.11","22.11","22.11","22.11","-0.84%"
"09/25/2025","22.30","21.88","22.30","21.88","5.71%"
"09/24/2025","21.10","21.12","21.12","21.10","-0.25%"
"09/23/2025","21.15","21.12","21.15","21.12","-2.07%"
"09/22/2025","21.60","21.61","21.61","21.60","14.68%"
"09/19/2025","18.83","18.85","18.85","18.83","0.08%"
"09/18/2025","18.82","18.84","18.84","18.82","-1.23%"
"09/17/2025","19.05","19.09","19.09","19.05","-0.25%"
"09/16/2025","19.10","19.08","19.10","19.08","1.30%"
"09/15/2025","18.85","18.83","18.85","18.83","-1.09%"
"09/12/2025","19.06","19.08","19.08","19.06","-0.14%"
"09/11/2025","19.09","18.83","19.09","18.83","4.04%"
"09/10/2025","18.35","18.33","18.35","18.33","-1.06%"
"09/09/2025","18.54","18.54","18.54","18.54","-1.71%"
"09/08/2025","18.86","18.83","18.86","18.83","-1.49%"
"09/05/2025","19.15","19.09","19.15","19.09","0.14%"
"09/04/2025","19.12","19.09","19.12","19.09","-1.88%"
"09/03/2025","19.49","19.45","19.49","19.45","3.67%"
"09/02/2025","18.80","18.33","18.80","18.33","3.96%"
"09/01/2025","18.08","18.09","18.09","18.08","-0.06%"
"08/29/2025","18.09","18.09","18.09","18.09","-0.36%"
"08/28/2025","18.16","18.18","18.18","18.16","-0.44%"
"08/27/2025","18.24","18.24","18.24","17.67","2.59%"
"08/26/2025","17.78","17.20","17.78","17.20","3.79%"
"08/25/2025","17.13","17.13","17.13","17.13","-1.38%"
"08/22/2025","17.37","17.19","17.37","17.19","1.58%"
"08/21/2025","17.10","17.18","17.18","17.10","-0.64%"
"08/20/2025","17.21","16.68","17.21","16.68","2.81%"
"08/19/2025","16.74","16.19","16.74","16.19","3.53%"
"08/18/2025","16.17","16.71","16.71","16.17","-2.77%"
"08/15/2025","16.63","16.70","16.70","16.63","0.18%"
"08/14/2025","16.60","16.71","16.71","16.60","-1.07%"
"08/13/2025","16.78","16.70","16.78","16.70","0.24%"
"08/12/2025","16.74","16.68","16.74","16.68","0.18%"
"08/11/2025","16.71","16.70","16.71","16.70","0.60%"
"08/08/2025","16.61","16.66","16.66","16.61","-0.18%"
"08/07/2025","16.64","16.67","16.67","16.64","-0.48%"
"08/06/2025","16.72","16.66","16.72","16.66","0.42%"
"08/05/2025","16.65","16.68","16.68","16.65","-0.30%"
"08/04/2025","16.70","16.63","16.70","16.63","-2.40%"
"08/01/2025","17.11","16.69","17.11","16.69","2.64%"
"07/31/2025","16.67","16.72","16.72","16.67","0.66%"
"07/30/2025","16.56","16.69","16.69","16.56","-1.37%"
"07/29/2025","16.79","16.71","16.79","16.71","0.72%"
"07/28/2025","16.67","16.68","16.68","16.67","-0.18%"
"07/25/2025","16.70","16.70","16.70","16.70","0.54%"
"07/24/2025","16.61","16.69","16.69","16.61","0.06%"
"07/23/2025","16.60","16.66","16.66","16.60","-1.01%"
"07/22/2025","16.77","16.71","16.77","16.71","0.12%"
"07/21/2025","16.75","16.69","16.75","16.69","-0.12%"
"07/18/2025","16.77","17.24","17.24","16.77","-2.16%"
"07/17/2025","17.14","17.15","17.15","17.14","-1.04%"
"07/16/2025","17.32","17.21","17.32","17.21","1.35%"
"07/15/2025","17.09","17.19","17.19","17.09","-0.52%"
"07/14/2025","17.18","17.20","17.20","17.18","0.35%"
"07/11/2025","17.12","17.18","17.18","17.12","-0.29%"
"07/10/2025","17.17","17.20","17.20","17.17","-0.69%"
"07/09/2025","17.29","17.18","17.29","17.18","0.82%"
"07/08/2025","17.15","17.21","17.21","17.15","-0.17%"
"07/07/2025","17.18","17.24","17.24","17.18","-0.12%"
"07/04/2025","17.20","17.20","17.20","17.20","0.88%"
"07/03/2025","17.05","17.24","17.24","17.05","-0.64%"
"07/02/2025","17.16","16.70","17.16","16.70","3.13%"
"07/01/2025","16.64","16.74","16.74","16.64","-0.54%"
"06/30/2025","16.73","16.67","16.73","16.67","0.60%"
"06/27/2025","16.63","16.63","16.63","16.63","-1.01%"
"06/26/2025","16.80","16.71","16.80","16.71","0.54%"
"06/25/2025","16.71","16.68","16.71","16.68","-0.42%"
"06/24/2025","16.78","17.18","17.18","16.78","-3.29%"
"06/23/2025","17.35","17.68","17.68","17.35","-2.36%"
"06/20/2025","17.77","17.73","17.77","17.73","0.23%"
"06/19/2025","17.73","17.22","17.73","17.22","2.54%"
"06/18/2025","17.29","17.20","17.29","17.20","0.06%"
"06/17/2025","17.28","17.32","17.32","17.28","0.64%"
"06/16/2025","17.17","17.68","17.68","17.17","-2.66%"
"06/13/2025","17.64","17.25","17.64","17.25","2.08%"
