"Date","Price","Open","High","Low","Change %"
"10/15/2025","68.39","69.07","69.07","68.39","-2.40%"
"10/14/2025","70.07","70.07","70.07","70.07","0.00%"
"10/13/2025","70.07","70.07","70.07","70.07","-1.90%"
"10/10/2025","71.42","71.40","71.42","71.40","-3.57%"
"10/09/2025","74.06","76.72","76.72","74.06","-4.29%"
"10/08/2025","77.38","77.39","77.39","77.38","0.00%"
"10/07/2025","77.39","77.39","77.39","77.39","-0.84%"
"10/06/2025","78.05","78.05","78.05","78.05","1.30%"
"10/03/2025","77.04","77.05","77.05","77.04","-1.29%"
"10/02/2025","78.05","78.05","78.05","78.05","-0.02%"
"10/01/2025","78.06","78.05","78.06","78.05","-0.42%"
"09/30/2025","78.39","78.39","78.39","78.39","0.86%"
"09/29/2025","77.72","78.05","78.05","77.72","-1.68%"
"09/26/2025","79.05","78.39","79.05","78.39","0.43%"
"09/25/2025","78.71","78.72","78.72","78.71","1.72%"
"09/24/2025","77.38","77.39","77.39","77.38","0.85%"
"09/23/2025","76.72","76.72","76.72","76.72","-2.11%"
"09/22/2025","78.38","78.87","78.87","78.38","7.30%"
"09/19/2025","73.05","73.05","73.05","73.05","0.93%"
"09/18/2025","72.38","72.39","72.39","72.38","-0.91%"
"09/17/2025","73.04","73.05","73.05","73.04","-0.02%"
"09/16/2025","73.06","73.22","73.22","73.06","-0.23%"
"09/15/2025","73.22","73.22","73.22","73.22","-1.33%"
"09/12/2025","74.21","74.22","74.22","74.21","-0.01%"
"09/11/2025","74.22","74.38","74.38","74.22","0.22%"
"09/10/2025","74.05","74.21","74.21","74.05","-1.10%"
"09/09/2025","74.87","74.87","74.87","74.87","0.65%"
"09/08/2025","74.39","74.05","74.39","74.05","0.89%"
"09/05/2025","73.73","73.72","73.73","73.72","0.01%"
"09/04/2025","73.73","74.05","74.05","73.73","0.00%"
"09/03/2025","73.72","73.71","73.72","73.71","-1.32%"
"09/02/2025","74.71","74.38","74.71","74.38","1.81%"
"09/01/2025","73.38","73.38","73.38","73.38","-1.35%"
"08/29/2025","74.39","74.38","74.39","74.38","1.69%"
"08/28/2025","73.15","73.15","73.15","73.15","-0.03%"
"08/27/2025","73.17","73.17","73.17","73.15","-0.01%"
"08/26/2025","73.18","73.16","73.18","73.16","0.07%"
"08/25/2025","73.13","73.14","73.14","73.13","-0.11%"
"08/22/2025","73.21","73.15","73.21","73.15","0.12%"
"08/21/2025","73.12","73.15","73.15","73.12","-0.05%"
"08/20/2025","73.16","72.65","73.16","72.65","0.67%"
"08/19/2025","72.67","72.65","72.67","72.65","0.03%"
"08/18/2025","72.65","72.66","72.66","72.65","0.01%"
"08/15/2025","72.64","72.66","72.66","72.64","0.03%"
"08/14/2025","72.62","72.66","72.66","72.62","-0.10%"
"08/13/2025","72.69","73.15","73.15","72.69","-0.66%"
"08/12/2025","73.17","74.15","74.15","73.17","-1.32%"
"08/11/2025","74.15","74.15","74.15","74.15","0.04%"
"08/08/2025","74.12","75.13","75.13","74.12","-1.34%"
"08/07/2025","75.13","75.14","75.14","75.13","-0.03%"
"08/06/2025","75.15","75.13","75.15","75.13","0.03%"
"08/05/2025","75.13","75.14","75.14","75.13","-0.03%"
"08/04/2025","75.15","75.12","75.15","75.12","-0.16%"
"08/01/2025","75.27","75.14","75.27","75.14","0.17%"
"07/31/2025","75.14","75.15","75.15","75.14","0.05%"
"07/30/2025","75.10","75.14","75.14","75.10","-0.11%"
"07/29/2025","75.18","76.14","76.14","75.18","-1.25%"
"07/28/2025","76.13","76.13","76.13","76.13","-0.01%"
"07/25/2025","76.14","76.14","76.14","76.14","0.03%"
"07/24/2025","76.12","76.14","76.14","76.12","0.01%"
"07/23/2025","76.11","76.13","76.13","76.11","-0.07%"
"07/22/2025","76.16","76.14","76.16","76.14","0.00%"
"07/21/2025","76.16","76.14","76.16","76.14","0.00%"
"07/18/2025","76.16","76.16","76.16","76.16","-1.31%"
"07/16/2025","77.17","77.14","77.17","77.14","0.08%"
"07/15/2025","77.11","80.12","80.12","77.11","-3.74%"
"07/14/2025","80.11","80.12","80.12","80.11","0.01%"
"07/11/2025","80.10","80.11","80.11","80.10","-0.01%"
"07/10/2025","80.11","80.12","80.12","80.11","-0.04%"
"07/09/2025","80.14","83.10","83.10","80.14","-3.55%"
"07/08/2025","83.09","83.11","83.11","83.09","-0.01%"
"07/07/2025","83.10","83.11","83.11","83.10","0.00%"
"07/04/2025","83.10","83.10","83.10","83.10","0.04%"
"07/03/2025","83.07","85.10","85.10","83.07","-2.36%"
"07/02/2025","85.08","89.07","89.07","85.08","-4.47%"
"07/01/2025","89.06","89.07","89.07","89.06","-0.01%"
"06/30/2025","89.07","90.06","90.06","89.07","-1.09%"
"06/27/2025","90.05","90.05","90.05","90.05","-0.02%"
"06/26/2025","90.07","95.03","95.03","90.07","-5.22%"
"06/25/2025","95.03","95.03","95.03","95.03","-0.01%"
"06/24/2025","95.04","104.96","104.96","95.04","-9.44%"
"06/23/2025","104.95","109.92","109.92","104.95","-4.51%"
"06/20/2025","109.91","109.92","109.92","109.91","-0.01%"
"06/19/2025","109.92","109.92","109.92","109.92","0.00%"
"06/18/2025","109.92","109.92","109.92","109.92","0.01%"
"06/17/2025","109.91","109.91","109.91","109.91","-0.02%"
"06/16/2025","109.93","119.85","119.85","109.93","-8.28%"
"06/13/2025","119.86","109.92","119.86","109.92","9.05%"
"06/12/2025","109.91","96.02","109.91","96.02","14.45%"
"06/11/2025","96.03","96.52","96.52","96.03","-0.51%"
"06/10/2025","96.52","96.52","96.52","96.52","0.00%"
"06/09/2025","96.52","96.52","96.52","96.52","0.01%"
"06/06/2025","96.51","97.02","97.02","96.51","-0.52%"
"06/05/2025","97.01","97.02","97.02","97.01","-0.01%"
"06/04/2025","97.02","98.01","98.01","97.02","-1.01%"
"06/03/2025","98.01","98.01","98.01","98.01","0.00%"
"06/02/2025","98.01","98.01","98.01","98.01","0.00%"
"05/30/2025","98.01","98.01","98.01","98.01","0.00%"
"05/29/2025","98.01","99.00","99.00","98.01","-1.00%"
"05/28/2025","99.00","99.00","99.00","99.00","0.00%"
"05/27/2025","99.00","100.99","100.99","99.00","-1.97%"
"05/26/2025","100.99","100.99","100.99","100.99","0.00%"
