"Date","Price","Open","High","Low","Change %"
"10/09/2025","38.42","38.44","38.44","38.42","-1.29%"
"10/08/2025","38.93","39.19","39.19","38.93","-0.68%"
"10/07/2025","39.19","39.18","39.19","39.18","-0.55%"
"10/06/2025","39.41","39.17","39.41","39.17","2.61%"
"10/03/2025","38.40","38.42","38.42","38.40","-0.71%"
"10/02/2025","38.68","38.68","38.68","38.68","-0.12%"
"10/01/2025","38.72","38.68","38.72","38.68","-0.91%"
"09/30/2025","39.08","39.31","39.31","39.08","1.00%"
"09/29/2025","38.69","38.68","38.69","38.68","-1.85%"
"09/26/2025","39.42","39.35","39.42","39.35","-0.52%"
"09/25/2025","39.63","39.43","39.63","39.43","2.54%"
"09/24/2025","38.65","38.85","38.85","38.65","-0.60%"
"09/23/2025","38.88","38.85","38.88","38.85","0.59%"
"09/22/2025","38.65","38.70","38.70","38.65","11.56%"
"09/19/2025","34.65","34.90","34.90","34.65","-1.39%"
"09/18/2025","35.13","35.31","35.31","35.13","0.21%"
"09/17/2025","35.06","34.81","35.06","34.81","0.61%"
"09/16/2025","34.85","34.84","34.85","34.84","0.52%"
"09/15/2025","34.67","36.31","36.31","34.67","-3.40%"
"09/12/2025","35.89","36.30","36.30","35.89","-0.76%"
"09/11/2025","36.16","36.40","36.40","36.16","-1.38%"
"09/10/2025","36.67","36.90","36.90","36.67","-1.22%"
"09/09/2025","37.12","37.12","37.12","37.12","-4.05%"
"09/08/2025","38.69","39.16","39.16","38.69","-2.57%"
"09/05/2025","39.71","40.16","40.16","39.71","-0.57%"
"09/04/2025","39.93","40.66","40.66","39.93","-4.17%"
"09/03/2025","41.67","42.14","42.14","41.67","-3.37%"
"09/02/2025","43.13","42.65","43.13","42.65","2.92%"
"09/01/2025","41.90","41.90","41.90","41.90","-0.01%"
"08/29/2025","41.91","42.15","42.15","41.91","-2.07%"
"08/28/2025","42.79","42.79","42.79","42.79","-0.12%"
"08/27/2025","42.84","42.84","42.84","41.29","3.55%"
"08/26/2025","41.37","39.33","41.37","39.33","5.35%"
"08/25/2025","39.27","39.28","39.28","39.27","-0.43%"
"08/22/2025","39.44","39.32","39.44","39.32","0.48%"
"08/21/2025","39.25","39.31","39.31","39.25","-0.20%"
"08/20/2025","39.33","38.81","39.33","38.81","1.21%"
"08/19/2025","38.86","38.81","38.86","38.81","0.15%"
"08/18/2025","38.80","38.83","38.83","38.80","0.05%"
"08/15/2025","38.78","39.82","39.82","38.78","-2.44%"
"08/14/2025","39.75","39.83","39.83","39.75","-0.33%"
"08/13/2025","39.88","39.82","39.88","39.82","0.08%"
"08/12/2025","39.85","39.81","39.85","39.81","0.05%"
"08/11/2025","39.83","39.85","39.85","39.83","0.13%"
"08/08/2025","39.78","39.82","39.82","39.78","-0.08%"
"08/07/2025","39.81","39.83","39.83","39.81","-0.15%"
"08/06/2025","39.87","39.82","39.87","39.82","0.13%"
"08/05/2025","39.82","39.34","39.82","39.34","1.17%"
"08/04/2025","39.36","39.30","39.36","39.30","-0.73%"
"08/01/2025","39.65","39.34","39.65","39.34","0.81%"
"07/31/2025","39.33","39.87","39.87","39.33","-1.06%"
"07/30/2025","39.75","39.84","39.84","39.75","-0.43%"
"07/29/2025","39.92","40.36","40.36","39.92","-1.02%"
"07/28/2025","40.33","40.33","40.33","40.33","-0.05%"
"07/25/2025","40.35","40.35","40.35","40.35","0.15%"
"07/24/2025","40.29","41.83","41.83","40.29","-3.57%"
"07/23/2025","41.78","42.32","42.32","41.78","-1.44%"
"07/22/2025","42.39","42.85","42.85","42.39","-1.14%"
"07/21/2025","42.88","43.83","43.83","42.88","-2.28%"
"07/18/2025","43.88","44.37","44.37","43.88","-0.95%"
"07/17/2025","44.30","44.31","44.31","44.30","-0.27%"
"07/16/2025","44.42","44.34","44.42","44.34","0.36%"
"07/15/2025","44.26","44.33","44.33","44.26","-0.14%"
"07/14/2025","44.32","44.34","44.34","44.32","0.07%"
"07/11/2025","44.29","44.32","44.32","44.29","-0.07%"
"07/10/2025","44.32","44.84","44.84","44.32","-1.29%"
"07/09/2025","44.90","44.82","44.90","44.82","0.22%"
"07/08/2025","44.80","45.84","45.84","44.80","-2.23%"
"07/07/2025","45.82","45.85","45.85","45.82","-0.02%"
"07/04/2025","45.83","45.83","45.83","45.83","0.22%"
"07/03/2025","45.73","46.36","46.36","45.73","-1.23%"
"07/02/2025","46.30","46.83","46.83","46.30","-1.07%"
"07/01/2025","46.80","46.86","46.86","46.80","-0.11%"
"06/30/2025","46.85","47.32","47.32","46.85","-0.91%"
"06/27/2025","47.28","47.29","47.29","47.28","-0.25%"
"06/26/2025","47.40","47.85","47.85","47.40","-0.94%"
"06/25/2025","47.85","48.33","48.33","47.85","-1.14%"
"06/24/2025","48.40","49.32","49.32","48.40","-2.02%"
"06/23/2025","49.40","49.81","49.81","49.40","-0.92%"
"06/20/2025","49.86","49.84","49.86","49.84","0.04%"
