"Date","Price","Open","High","Low","Change %"
"10/02/2025","18.50","18.50","18.50","18.50","-0.05%"
"10/01/2025","18.51","18.50","18.51","18.50","0.00%"
"09/30/2025","18.51","18.51","18.51","18.51","0.00%"
"09/29/2025","18.50","18.51","18.51","18.50","-0.85%"
"09/26/2025","18.66","18.66","18.66","18.66","-3.39%"
"09/25/2025","19.32","19.33","19.33","19.32","-0.05%"
"09/24/2025","19.33","19.33","19.33","19.33","-0.93%"
"09/23/2025","19.51","19.51","19.51","19.51","0.03%"
"09/22/2025","19.50","19.50","19.50","19.50","4.61%"
"09/19/2025","18.64","18.65","18.65","18.64","-0.11%"
"09/18/2025","18.66","18.66","18.66","18.66","-1.71%"
"09/17/2025","18.99","18.99","18.99","18.99","0.04%"
"09/16/2025","18.98","18.99","18.99","18.98","-0.08%"
"09/15/2025","18.99","18.98","18.99","18.98","0.09%"
"09/12/2025","18.98","18.97","18.98","18.97","0.00%"
"09/11/2025","18.98","18.98","18.98","18.98","-0.05%"
"09/10/2025","18.99","18.99","18.99","18.99","0.07%"
"09/09/2025","18.98","18.98","18.98","18.98","-0.79%"
"09/08/2025","19.13","19.12","19.13","19.12","0.11%"
"09/05/2025","19.11","19.10","19.11","19.10","-0.08%"
"09/04/2025","19.12","19.12","19.12","19.12","-3.59%"
"09/03/2025","19.83","19.83","19.83","19.83","0.15%"
"09/02/2025","19.81","19.82","19.82","19.81","-0.21%"
"09/01/2025","19.85","19.85","19.85","19.85","0.00%"
"08/29/2025","19.84","19.85","19.85","19.84","-6.36%"
"08/28/2025","21.19","21.20","21.20","21.19","0.00%"
"08/27/2025","21.19","21.19","21.20","21.19","-0.24%"
"08/26/2025","21.24","21.22","21.24","21.22","0.47%"
"08/25/2025","21.14","21.17","21.17","21.14","-0.24%"
"08/22/2025","21.19","21.18","21.19","21.18","0.09%"
"08/21/2025","21.17","21.18","21.18","21.17","-0.14%"
"08/20/2025","21.20","21.19","21.20","21.19","-0.14%"
"08/19/2025","21.23","21.22","21.23","21.22","0.09%"
"08/18/2025","21.21","21.24","21.24","21.21","0.05%"
"08/15/2025","21.20","21.21","21.21","21.20","0.05%"
"08/14/2025","21.19","21.23","21.23","21.19","-0.38%"
"08/13/2025","21.27","21.24","21.27","21.24","0.38%"
"08/12/2025","21.19","21.22","21.22","21.19","-0.14%"
"08/11/2025","21.22","21.24","21.24","21.22","0.28%"
"08/08/2025","21.16","21.17","21.17","21.16","-0.14%"
"08/07/2025","21.19","21.19","21.19","21.19","0.05%"
"08/06/2025","21.18","21.15","21.18","21.15","0.05%"
"08/05/2025","21.17","21.18","21.18","21.17","-0.24%"
"08/04/2025","21.22","21.10","21.22","21.10","-1.03%"
"08/01/2025","21.44","21.20","21.44","21.20","1.13%"
"07/31/2025","21.20","21.22","21.22","21.20","0.00%"
"07/30/2025","21.20","21.20","21.20","21.20","-0.14%"
"07/29/2025","21.23","21.21","21.23","21.21","0.19%"
"07/28/2025","21.19","21.21","21.21","21.19","0.00%"
"07/25/2025","21.19","21.18","21.19","21.18","0.00%"
"07/24/2025","21.19","21.21","21.21","21.19","2.47%"
"07/23/2025","20.68","20.67","20.68","20.67","-0.24%"
"07/22/2025","20.73","20.70","20.73","20.70","-0.14%"
"07/21/2025","20.76","20.76","20.76","20.76","0.00%"
"07/18/2025","20.76","20.73","20.76","20.73","0.39%"
"07/17/2025","20.68","20.69","20.69","20.68","-0.19%"
"07/16/2025","20.72","20.72","20.72","20.72","0.14%"
"07/15/2025","20.69","20.72","20.72","20.69","-0.05%"
"07/14/2025","20.70","20.72","20.72","20.70","0.15%"
"07/11/2025","20.67","20.66","20.67","20.66","-0.10%"
"07/10/2025","20.69","20.70","20.70","20.69","-0.05%"
"07/09/2025","20.70","20.73","20.73","20.70","0.10%"
"07/08/2025","20.68","20.69","20.69","20.68","-0.19%"
"07/07/2025","20.72","20.73","20.73","20.72","0.00%"
"07/04/2025","20.72","20.72","20.72","20.72","-0.24%"
"07/03/2025","20.77","20.76","20.77","20.76","0.19%"
"07/02/2025","20.73","20.68","20.73","20.68","-0.10%"
"07/01/2025","20.75","20.77","20.77","20.75","0.10%"
"06/30/2025","20.73","20.73","20.73","20.73","0.44%"
"06/27/2025","20.64","20.64","20.64","20.64","-0.48%"
"06/26/2025","20.74","20.73","20.74","20.73","0.19%"
"06/25/2025","20.70","20.71","20.71","20.70","-0.19%"
"06/24/2025","20.74","20.71","20.74","20.71","0.19%"
"06/23/2025","20.70","20.69","20.70","20.69","0.24%"
"06/20/2025","20.65","20.69","20.69","20.65","-0.24%"
"06/19/2025","20.70","20.70","20.70","20.70","0.05%"
"06/18/2025","20.69","20.69","20.69","20.69","-0.58%"
"06/17/2025","20.81","20.78","20.81","20.78","0.63%"
"06/16/2025","20.68","20.66","20.68","20.66","0.00%"
"06/13/2025","20.68","20.73","20.73","20.68","-0.67%"
"06/12/2025","20.82","20.72","20.82","20.72","0.82%"
"06/11/2025","20.65","20.69","20.69","20.65","-0.48%"
"06/10/2025","20.75","20.75","20.75","20.75","-2.31%"
"06/09/2025","21.24","21.27","21.27","21.24","0.47%"
"06/06/2025","21.14","21.25","21.25","21.14","-0.33%"
"06/05/2025","21.21","21.19","21.21","21.19","0.28%"
"06/04/2025","21.15","21.17","21.17","21.15","-0.47%"
"06/03/2025","21.25","21.25","21.25","21.25","0.38%"
"06/02/2025","21.17","21.15","21.17","21.15","-0.24%"
"05/30/2025","21.22","21.20","21.22","21.20","0.05%"
"05/29/2025","21.21","21.12","21.21","21.12","-0.05%"
"05/28/2025","21.22","21.22","21.22","21.22","5.41%"
"05/21/2025","20.13","20.14","20.14","20.13","2.23%"
"05/20/2025","19.69","19.71","19.71","19.69","0.31%"
"05/19/2025","19.63","19.65","19.65","19.63","-0.71%"
"05/16/2025","19.77","19.74","19.77","19.74","0.20%"
"05/15/2025","19.73","19.76","19.76","19.73","0.10%"
"05/14/2025","19.71","19.73","19.73","19.71","-0.15%"
"05/13/2025","19.74","19.76","19.76","19.74","1.39%"
"05/12/2025","19.47","19.51","19.51","19.47","-1.47%"
"05/09/2025","19.76","19.77","19.77","19.76","0.56%"
"05/08/2025","19.65","19.65","19.65","19.65","-0.10%"
"05/07/2025","19.67","19.64","19.67","19.64","-0.41%"
"05/06/2025","19.75","19.74","19.75","19.74","-0.15%"
"05/05/2025","19.78","19.74","19.78","19.74","0.61%"
"05/02/2025","19.66","19.71","19.71","19.66","-0.46%"
"05/01/2025","19.75","19.72","19.75","19.72","-0.05%"
"04/30/2025","19.76","19.71","19.76","19.71","0.51%"
"04/29/2025","19.66","19.66","19.66","19.66","-0.10%"
"04/28/2025","19.68","19.68","19.68","19.68","-0.20%"
"04/25/2025","19.72","19.68","19.72","19.68","-0.40%"
"04/24/2025","19.80","19.77","19.80","19.77","0.41%"
"04/23/2025","19.72","19.69","19.72","19.69","-9.29%"
"04/21/2025","21.74","21.80","21.80","21.74","-0.05%"
"04/18/2025","21.75","21.75","21.75","21.75","0.37%"
"04/17/2025","21.67","21.63","21.67","21.63","-0.46%"
"04/16/2025","21.77","21.76","21.77","21.76","0.18%"
"04/15/2025","21.73","21.74","21.74","21.73","-0.32%"
"04/14/2025","21.80","21.79","21.80","21.79","0.37%"
"04/11/2025","21.72","21.82","21.82","19.80","9.70%"
"04/10/2025","19.80","19.83","19.83","19.80","-15.89%"
"04/09/2025","23.54","23.59","23.59","23.54","13.83%"
"04/08/2025","20.68","20.68","20.68","20.68","14.38%"
"04/04/2025","18.08","17.88","18.08","17.88","0.22%"
"04/03/2025","18.04","17.95","18.04","17.95","1.69%"
"04/02/2025","17.74","17.69","17.74","17.69","-0.45%"
"04/01/2025","17.82","17.79","17.82","17.79","-4.60%"
"03/25/2025","18.68","18.69","18.69","18.68","0.43%"
"03/24/2025","18.60","18.64","18.64","18.60","-0.91%"
"03/21/2025","18.77","18.75","18.77","18.75","-0.16%"
"03/20/2025","18.80","18.75","18.80","18.75","12.51%"
"03/07/2025","16.71","16.71","16.71","16.71","0.06%"
"03/06/2025","16.70","16.68","16.70","16.68","0.60%"
"03/05/2025","16.60","16.59","16.60","16.59","-0.66%"
"03/04/2025","16.71","16.71","16.71","16.71","0.66%"
"03/03/2025","16.60","16.60","16.60","16.57","-0.48%"
"02/28/2025","16.68","16.68","16.68","16.68","0.48%"
"02/27/2025","16.60","16.60","16.60","16.59","-0.12%"
"02/26/2025","16.62","16.62","16.62","16.62","-1.01%"
"02/25/2025","16.79","16.79","16.79","16.79","0.90%"
"02/24/2025","16.64","16.64","16.64","16.64","-0.36%"
"02/21/2025","16.70","16.70","16.70","16.70","0.00%"
"02/20/2025","16.70","16.70","16.70","16.70","0.06%"
"02/19/2025","16.69","16.69","16.69","16.69","0.18%"
"02/18/2025","16.66","16.66","16.66","16.65","-0.18%"
"02/17/2025","16.69","16.69","16.71","16.69","-0.18%"
"02/14/2025","16.72","16.72","16.72","16.71","-0.12%"
"02/13/2025","16.74","16.74","16.74","16.74","0.36%"
"02/12/2025","16.68","16.68","16.69","16.68","-15.24%"
"02/11/2025","19.68","19.68","19.68","19.68","-0.05%"
"02/10/2025","19.69","19.69","19.70","19.69","0.05%"
"02/07/2025","19.68","19.68","19.68","19.68","0.15%"
"02/06/2025","19.65","19.65","19.65","19.65","-0.51%"
"02/05/2025","19.75","19.75","19.75","19.75","0.36%"
"02/04/2025","19.68","19.68","19.68","19.68","0.25%"
"02/03/2025","19.63","19.63","19.63","19.63","-0.36%"
"01/31/2025","19.70","19.70","19.70","19.70","-0.25%"
"01/30/2025","19.75","19.75","19.75","19.75","0.20%"
"01/29/2025","19.71","19.71","19.71","19.71","0.36%"
"01/28/2025","19.64","19.64","19.64","19.64","-0.96%"
