"Date","Price","Open","High","Low","Change %"
"10/16/2025","23.64","23.47","23.64","23.47","-1.03%"
"10/15/2025","23.89","23.89","23.89","23.89","-5.11%"
"10/14/2025","25.17","25.09","25.17","25.09","2.35%"
"10/13/2025","24.59","24.39","24.59","24.39","3.27%"
"10/10/2025","23.82","23.81","23.82","23.81","0.76%"
"10/09/2025","23.64","23.64","23.64","23.64","-1.77%"
"10/08/2025","24.06","24.06","24.06","24.06","2.37%"
"10/07/2025","23.50","23.51","23.51","23.50","-0.70%"
"10/06/2025","23.67","23.67","23.67","23.67","0.15%"
"10/03/2025","23.63","23.63","23.63","23.63","-2.75%"
"10/02/2025","24.30","24.30","24.30","24.30","-1.05%"
"10/01/2025","24.56","24.56","24.56","24.56","-0.03%"
"09/30/2025","24.57","24.56","24.57","24.56","0.23%"
"09/29/2025","24.51","24.56","24.56","24.51","-0.44%"
"09/26/2025","24.62","24.62","24.62","24.62","5.57%"
"09/25/2025","23.32","23.33","23.33","23.32","3.11%"
"09/24/2025","22.62","22.62","22.62","22.62","3.37%"
"09/23/2025","21.88","21.92","21.92","21.88","7.41%"
"09/22/2025","20.37","20.38","20.38","20.37","8.02%"
"09/19/2025","18.86","18.87","18.87","18.86","1.32%"
"09/18/2025","18.61","18.53","18.61","18.53","2.39%"
"09/17/2025","18.18","18.18","18.18","18.18","2.71%"
"09/16/2025","17.70","17.70","17.70","17.70","1.12%"
"09/15/2025","17.50","17.58","17.58","17.50","-0.12%"
"09/12/2025","17.52","17.52","17.52","17.52","-1.90%"
"09/11/2025","17.86","17.86","17.86","17.86","-3.24%"
"09/10/2025","18.46","18.45","18.46","18.45","-2.10%"
"09/09/2025","18.86","18.86","18.86","18.86","-0.56%"
"09/08/2025","18.97","18.92","18.97","18.92","-0.59%"
"09/05/2025","19.08","19.08","19.08","19.08","-2.20%"
"09/04/2025","19.51","19.47","19.51","19.47","-1.34%"
"09/03/2025","19.77","19.69","19.77","19.69","-0.53%"
"09/02/2025","19.88","19.90","19.90","19.88","-0.55%"
"09/01/2025","19.99","19.86","19.99","19.86","1.50%"
"08/29/2025","19.69","19.70","19.70","19.69","-1.97%"
"08/28/2025","20.09","20.09","20.09","20.09","0.00%"
"08/27/2025","20.09","20.09","20.11","20.09","-0.05%"
"08/26/2025","20.10","20.10","20.10","20.10","0.30%"
"08/25/2025","20.04","20.07","20.07","20.04","-2.72%"
"08/22/2025","20.60","20.60","20.60","20.60","0.05%"
"08/21/2025","20.59","20.59","20.59","20.59","-0.15%"
"08/20/2025","20.62","20.61","20.62","20.61","-2.46%"
"08/19/2025","21.14","21.13","21.14","21.13","-0.05%"
"08/18/2025","21.15","21.16","21.16","21.15","-2.13%"
"08/15/2025","21.61","21.62","21.62","21.61","0.00%"
"08/14/2025","21.61","21.65","21.65","21.61","-0.32%"
"08/13/2025","21.68","21.66","21.68","21.66","-1.99%"
"08/12/2025","22.12","22.14","22.14","22.12","-0.14%"
"08/11/2025","22.15","22.16","22.16","22.15","0.27%"
"08/08/2025","22.09","22.09","22.09","22.09","-0.09%"
"08/07/2025","22.11","22.12","22.12","22.11","-1.12%"
"08/06/2025","22.36","22.32","22.36","22.32","-1.06%"
"08/05/2025","22.60","22.60","22.60","22.60","-0.18%"
"08/04/2025","22.64","22.53","22.64","22.53","1.07%"
"08/01/2025","22.40","22.12","22.40","22.12","3.51%"
"07/31/2025","21.64","21.64","21.64","21.64","-2.08%"
"07/30/2025","22.10","22.12","22.12","22.10","-0.27%"
"07/29/2025","22.16","22.14","22.16","22.14","0.18%"
"07/28/2025","22.12","22.15","22.15","22.12","-2.17%"
"07/25/2025","22.61","22.60","22.61","22.60","0.00%"
"07/24/2025","22.61","22.63","22.63","22.61","-4.11%"
"07/23/2025","23.58","23.58","23.58","23.58","-2.32%"
"07/22/2025","24.14","24.12","24.14","24.12","-0.17%"
"07/21/2025","24.18","24.18","24.18","24.18","-3.93%"
"07/18/2025","25.17","25.15","25.17","25.15","-1.64%"
"07/17/2025","25.59","25.61","25.61","25.59","-0.16%"
"07/16/2025","25.63","25.63","25.63","25.63","0.00%"
"07/15/2025","25.63","25.64","25.64","25.63","0.08%"
"07/14/2025","25.61","25.62","25.62","25.61","0.08%"
"07/11/2025","25.59","25.58","25.59","25.58","-0.08%"
"07/10/2025","25.61","25.61","25.61","25.61","0.00%"
"07/09/2025","25.61","25.64","25.64","25.61","0.00%"
"07/08/2025","25.61","25.60","25.61","25.60","-0.08%"
"07/07/2025","25.63","25.65","25.65","25.63","0.00%"
"07/04/2025","25.63","25.63","25.63","25.63","-1.16%"
"07/03/2025","25.93","25.92","25.93","25.92","-0.84%"
"07/02/2025","26.15","26.10","26.15","26.10","-1.95%"
"07/01/2025","26.67","26.66","26.67","26.66","0.11%"
"06/30/2025","26.64","26.64","26.64","26.64","-0.63%"
"06/27/2025","26.81","26.82","26.82","26.81","-1.25%"
"06/26/2025","27.15","27.14","27.15","27.14","0.15%"
"06/25/2025","27.11","27.12","27.12","27.11","-0.11%"
"06/24/2025","27.14","27.12","27.14","27.12","-1.67%"
"06/23/2025","27.60","27.61","27.61","27.60","0.15%"
"06/20/2025","27.56","27.60","27.60","27.56","-0.22%"
"06/19/2025","27.62","27.62","27.62","27.62","0.04%"
"06/18/2025","27.61","27.61","27.61","27.61","1.62%"
"06/17/2025","27.17","27.17","27.17","27.17","0.30%"
"06/16/2025","27.09","27.08","27.09","27.08","-1.81%"
"06/13/2025","27.59","27.63","27.63","27.59","1.36%"
"06/12/2025","27.22","27.13","27.22","27.13","2.45%"
"06/11/2025","26.57","26.61","26.61","26.57","-2.17%"
"06/10/2025","27.16","27.16","27.16","27.16","-1.77%"
"06/09/2025","27.65","27.68","27.68","27.65","-1.57%"
"06/06/2025","28.09","28.15","28.15","28.09","-0.11%"
"06/05/2025","28.12","28.11","28.12","28.11","-1.58%"
"06/04/2025","28.57","28.58","28.58","28.57","-2.02%"
"06/03/2025","29.16","29.16","29.16","29.16","0.28%"
"06/02/2025","29.08","29.08","29.08","29.08","-0.14%"
"05/30/2025","29.12","29.11","29.12","29.11","-1.56%"
"05/29/2025","29.58","29.54","29.58","29.54","-1.79%"
"05/28/2025","30.12","30.10","30.12","30.10","-1.63%"
"05/27/2025","30.62","30.63","30.63","30.62","-1.54%"
"05/26/2025","31.10","31.09","31.10","31.09","-0.16%"
"05/23/2025","31.15","31.15","31.15","31.15","0.00%"
"05/22/2025","31.15","31.15","31.15","31.15","0.29%"
"05/21/2025","31.06","31.07","31.07","31.06","-0.16%"
"05/20/2025","31.11","31.11","31.11","31.11","0.10%"
"05/19/2025","31.08","31.09","31.09","31.08","-0.32%"
"05/16/2025","31.18","31.16","31.18","31.16","3.35%"
"05/15/2025","30.17","30.17","30.17","30.17","1.79%"
"05/14/2025","29.64","29.65","29.65","29.64","-0.13%"
"05/13/2025","29.68","29.67","29.68","29.67","-0.84%"
"05/12/2025","29.93","29.94","29.94","29.93","-3.98%"
"05/09/2025","31.17","31.17","31.17","31.17","0.29%"
"05/08/2025","31.08","31.08","31.08","31.08","0.00%"
"05/07/2025","31.08","31.07","31.08","31.07","-0.29%"
"05/06/2025","31.17","31.16","31.17","31.16","-0.06%"
"05/05/2025","31.19","31.15","31.19","31.15","0.42%"
"05/02/2025","31.06","31.13","31.13","31.06","-1.90%"
"05/01/2025","31.66","31.63","31.66","31.63","0.13%"
"04/30/2025","31.62","31.62","31.62","31.62","0.13%"
"04/29/2025","31.58","31.58","31.58","31.58","-1.62%"
"04/28/2025","32.10","32.09","32.10","32.09","-4.55%"
"04/25/2025","33.63","33.59","33.63","33.59","-4.43%"
"04/24/2025","35.19","35.19","35.19","35.19","0.17%"
"04/23/2025","35.13","35.10","35.13","35.10","-2.71%"
"04/22/2025","36.11","36.11","36.11","36.11","1.29%"
"04/21/2025","35.65","35.70","35.70","35.65","-0.03%"
