"Date","Price","Open","High","Low","Change %"
"10/15/2025","94.19","94.18","94.19","94.18","-2.57%"
"10/14/2025","96.68","97.34","97.34","96.68","-2.18%"
"10/13/2025","98.84","98.84","98.84","98.84","0.51%"
"10/10/2025","98.34","94.54","98.34","94.54","10.44%"
"10/09/2025","89.04","88.38","89.04","88.38","2.29%"
"10/08/2025","87.04","87.54","87.54","87.04","-1.13%"
"10/07/2025","88.04","88.20","88.20","88.04","1.16%"
"10/06/2025","87.04","88.04","88.04","87.04","-1.32%"
"10/03/2025","88.20","88.70","88.70","88.20","-1.12%"
"10/02/2025","89.20","89.87","89.87","89.20","-1.29%"
"10/01/2025","90.37","90.53","90.53","90.37","-0.55%"
"09/30/2025","90.87","91.53","91.53","90.87","-0.54%"
"09/29/2025","91.36","92.44","92.44","91.36","-2.22%"
"09/26/2025","93.44","93.52","93.52","93.44","-0.08%"
"09/25/2025","93.52","93.36","93.52","93.36","-0.89%"
"09/24/2025","94.36","92.69","94.36","92.69","1.80%"
"09/23/2025","92.69","92.85","92.85","92.69","-1.06%"
"09/22/2025","93.68","91.37","93.68","91.37","8.67%"
"09/19/2025","86.21","85.87","86.21","85.87","0.58%"
"09/18/2025","85.71","85.70","85.71","85.70","-0.96%"
"09/17/2025","86.54","87.20","87.20","86.54","-0.95%"
"09/16/2025","87.37","88.37","88.37","87.37","-0.38%"
"09/15/2025","87.70","87.37","87.70","87.37","-0.56%"
"09/12/2025","88.20","88.04","88.20","88.04","1.72%"
"09/11/2025","86.71","87.36","87.36","86.71","-3.51%"
"09/10/2025","89.86","91.68","91.68","89.86","-5.09%"
"09/09/2025","94.68","94.55","94.55","76.69","0.35%"
"09/08/2025","94.35","94.68","94.68","94.35","-1.39%"
"09/05/2025","95.68","95.18","95.68","95.18","0.53%"
"09/04/2025","95.18","96.67","96.67","95.18","-2.88%"
"09/03/2025","98.01","97.84","98.01","97.84","-0.17%"
"09/02/2025","98.17","97.93","98.17","97.93","1.98%"
"09/01/2025","96.26","96.26","96.26","96.26","-0.17%"
"08/29/2025","96.43","96.35","96.43","96.35","0.41%"
"08/28/2025","96.03","96.04","96.04","96.03","-0.01%"
"08/27/2025","96.04","96.04","96.04","96.04","0.00%"
"08/26/2025","96.04","95.04","96.04","95.04","1.05%"
"08/25/2025","95.04","95.05","95.05","95.04","-0.01%"
"08/22/2025","95.05","98.51","98.51","95.05","-3.51%"
"08/21/2025","98.51","98.51","98.51","98.51","0.00%"
"08/20/2025","98.51","97.52","98.51","97.52","1.02%"
"08/19/2025","97.52","97.52","97.52","97.52","0.00%"
"08/18/2025","97.52","96.53","97.52","96.53","1.03%"
"08/15/2025","96.53","96.52","96.53","96.52","0.01%"
