"Date","Price","Open","High","Low","Change %"
"10/15/2025","69.47","69.81","69.81","69.47","-1.90%"
"10/14/2025","70.82","70.48","70.82","70.48","1.56%"
"10/13/2025","69.73","70.06","70.06","69.73","-0.97%"
"10/10/2025","70.42","69.07","70.42","69.07","5.26%"
"10/09/2025","66.90","66.90","66.90","66.90","1.52%"
"10/08/2025","65.90","65.90","65.90","65.90","-1.38%"
"10/07/2025","66.82","66.82","66.82","66.82","-0.11%"
"10/06/2025","66.89","66.90","66.90","66.89","1.27%"
"10/03/2025","66.06","66.23","66.23","66.06","-1.26%"
"10/02/2025","66.90","66.89","66.90","66.89","0.23%"
"10/01/2025","66.75","66.90","66.90","66.75","-1.27%"
"09/30/2025","67.61","67.97","67.97","67.61","-1.04%"
"09/29/2025","68.32","68.65","68.65","68.32","-1.55%"
"09/26/2025","69.39","69.64","69.64","69.39","0.27%"
"09/25/2025","69.21","70.06","70.06","69.21","-0.49%"
"09/24/2025","69.55","69.39","69.55","69.39","1.69%"
"09/23/2025","68.40","68.39","68.40","68.39","-0.26%"
"09/22/2025","68.58","67.82","68.58","67.82","9.48%"
"09/19/2025","62.64","62.31","62.64","62.31","0.95%"
"09/18/2025","62.05","62.23","62.23","62.05","-0.26%"
"09/17/2025","62.22","62.39","62.39","62.22","-0.55%"
"09/16/2025","62.56","62.72","62.72","62.56","2.45%"
"09/15/2025","61.06","61.22","61.22","61.06","-3.66%"
"09/12/2025","63.38","63.39","63.39","63.38","-0.02%"
"09/11/2025","63.39","63.39","63.39","63.39","0.00%"
"09/10/2025","63.39","63.06","63.39","63.06","1.09%"
"09/09/2025","62.71","62.71","62.71","62.71","3.48%"
"09/08/2025","60.60","60.09","60.60","60.09","-1.85%"
"09/05/2025","61.75","61.89","61.89","61.75","-0.26%"
"09/04/2025","61.90","61.89","61.90","61.89","0.28%"
"09/03/2025","61.74","61.89","61.89","61.74","-0.50%"
"09/02/2025","62.05","61.06","62.05","61.06","3.02%"
"09/01/2025","60.23","60.23","60.23","60.23","-0.28%"
"08/29/2025","60.40","60.40","60.40","60.40","2.06%"
"08/28/2025","59.18","61.18","61.18","59.18","-3.32%"
"08/27/2025","61.21","61.21","61.21","61.17","-0.02%"
"08/26/2025","61.22","61.22","61.22","61.22","0.92%"
"08/25/2025","60.66","60.66","60.66","60.66","-0.18%"
"08/22/2025","60.77","62.68","62.68","60.77","-2.99%"
"08/21/2025","62.64","62.68","62.68","62.64","-0.08%"
"08/20/2025","62.69","61.68","62.69","61.68","1.59%"
"08/19/2025","61.71","61.68","61.71","61.68","0.06%"
"08/18/2025","61.67","61.19","61.67","61.19","0.83%"
"08/15/2025","61.16","61.19","61.19","61.16","0.03%"
"08/14/2025","61.14","60.70","61.14","60.70","0.68%"
"08/13/2025","60.73","60.19","60.73","60.19","0.85%"
"08/12/2025","60.22","60.67","60.67","60.22","-0.77%"
"08/11/2025","60.69","60.19","60.69","60.19","0.93%"
"08/08/2025","60.13","60.16","60.16","60.13","-0.05%"
