"Date","Price","Open","High","Low","Change %"
"10/16/2025","266.01","265.45","266.01","265.45","0.58%"
"10/15/2025","264.48","264.77","264.77","264.48","-0.60%"
"10/14/2025","266.09","264.89","266.09","264.89","0.94%"
"10/13/2025","263.61","263.48","263.61","263.48","-0.15%"
"10/10/2025","264.01","262.17","264.01","262.17","2.12%"
"10/09/2025","258.53","258.35","258.53","258.35","0.78%"
"10/08/2025","256.54","256.36","256.54","256.36","-0.44%"
"10/07/2025","257.68","257.69","257.69","257.68","0.17%"
"10/06/2025","257.24","257.22","257.24","257.22","0.54%"
"10/03/2025","255.85","255.09","255.85","255.09","0.44%"
"10/02/2025","254.72","254.22","254.72","254.22","0.23%"
"10/01/2025","254.14","253.23","254.14","253.23","-0.09%"
"09/30/2025","254.36","256.18","256.18","254.36","-0.64%"
"09/29/2025","256.01","256.99","256.99","256.01","-1.00%"
"09/26/2025","258.58","258.41","258.58","258.41","-0.19%"
"09/25/2025","259.08","258.99","259.08","258.99","-0.05%"
"09/24/2025","259.21","259.49","259.49","259.21","-0.23%"
"09/23/2025","259.79","259.17","259.79","259.17","0.48%"
"09/22/2025","258.54","258.53","258.54","258.53","7.51%"
"09/19/2025","240.49","239.16","240.49","239.16","1.53%"
"09/18/2025","236.86","237.97","237.97","236.86","-1.17%"
"09/17/2025","239.67","241.11","241.11","239.67","-2.87%"
"09/16/2025","246.77","248.75","248.75","246.77","-1.71%"
"09/15/2025","251.06","255.99","255.99","251.06","-4.30%"
"09/12/2025","262.35","260.53","262.35","260.53","0.58%"
"09/11/2025","260.84","263.31","263.31","260.84","-2.59%"
"09/10/2025","267.79","269.12","269.12","267.79","-1.07%"
"09/09/2025","270.67","270.67","270.67","270.67","-0.63%"
"09/08/2025","272.39","270.48","272.39","270.48","3.49%"
"09/05/2025","263.21","263.79","263.79","263.21","-1.63%"
"09/04/2025","267.57","268.60","268.60","267.57","-0.94%"
"09/03/2025","270.12","269.90","270.12","269.90","-0.93%"
"09/02/2025","272.65","270.16","272.65","270.16","3.54%"
"09/01/2025","263.32","263.15","263.32","263.15","0.00%"
"08/29/2025","263.31","262.99","263.31","262.99","1.29%"
"08/28/2025","259.96","261.90","261.90","259.96","-0.69%"
"08/27/2025","261.77","261.77","262.41","261.77","-0.16%"
"08/26/2025","262.18","261.38","262.18","261.38","0.26%"
"08/25/2025","261.50","261.49","261.50","261.49","0.18%"
"08/22/2025","261.03","268.74","268.74","261.03","-2.93%"
"08/21/2025","268.92","267.28","268.92","267.28","0.63%"
"08/20/2025","267.23","263.36","267.23","263.36","1.52%"
"08/19/2025","263.23","264.82","264.82","263.23","-0.62%"
"08/18/2025","264.87","264.77","264.87","264.77","-0.02%"
"08/15/2025","264.91","264.77","264.91","264.77","-0.03%"
"08/14/2025","264.98","262.79","264.98","262.79","0.89%"
"08/13/2025","262.64","267.72","267.72","262.64","-1.86%"
"08/12/2025","267.61","273.14","273.14","267.61","-2.01%"
"08/11/2025","273.09","271.62","273.09","271.62","0.46%"
"08/08/2025","271.83","275.25","275.25","271.83","-1.26%"
"08/07/2025","275.29","276.72","276.72","275.29","-0.47%"
"08/06/2025","276.60","276.72","276.72","276.60","-0.05%"
"08/05/2025","276.75","276.68","276.75","276.68","0.05%"
"08/04/2025","276.61","281.70","281.70","276.61","-1.43%"
"08/01/2025","280.61","277.66","280.61","277.66","1.05%"
"07/31/2025","277.69","274.15","277.69","274.15","1.17%"
"07/30/2025","274.49","271.75","274.49","271.75","1.09%"
"07/29/2025","271.54","273.67","273.67","271.54","-0.81%"
"07/28/2025","273.75","271.76","273.75","271.76","0.75%"
"07/25/2025","271.71","271.72","271.72","271.71","-0.07%"
"07/24/2025","271.89","279.58","279.58","271.89","-2.82%"
"07/23/2025","279.78","284.54","284.54","279.78","-1.59%"
"07/22/2025","284.30","284.43","284.43","284.30","-0.01%"
"07/21/2025","284.32","284.47","284.47","284.32","0.01%"
"07/18/2025","284.29","285.32","285.32","284.29","-0.44%"
"07/17/2025","285.55","289.93","289.93","285.55","-1.38%"
"07/16/2025","289.55","286.38","289.55","286.38","1.01%"
