"Date","Price","Open","High","Low","Change %"
"10/16/2025","165.69","165.40","165.69","165.40","-0.74%"
"10/15/2025","166.92","168.87","168.87","166.92","-2.59%"
"10/14/2025","171.35","171.03","171.35","171.03","-0.12%"
"10/13/2025","171.55","173.29","173.29","171.55","-1.10%"
"10/10/2025","173.47","170.25","173.47","170.25","5.18%"
"10/09/2025","164.93","164.42","164.93","164.42","1.09%"
"10/08/2025","163.15","163.38","163.38","163.15","-0.97%"
"10/07/2025","164.75","164.27","164.75","164.27","1.00%"
"10/06/2025","163.12","163.11","163.12","163.11","0.93%"
"10/03/2025","161.62","161.77","161.77","161.62","-0.94%"
"10/02/2025","163.15","164.62","164.62","163.15","-1.94%"
"10/01/2025","166.38","166.08","166.38","166.08","0.59%"
"09/30/2025","165.40","165.41","165.41","165.40","0.30%"
"09/29/2025","164.91","165.57","165.57","164.91","-1.39%"
"09/26/2025","167.24","168.05","168.05","167.24","-1.39%"
"09/25/2025","169.59","168.25","169.59","168.25","2.00%"
"09/24/2025","166.27","166.09","166.27","166.09","0.22%"
"09/23/2025","165.91","165.92","165.92","165.91","-0.22%"
"09/22/2025","166.27","165.63","166.27","165.63","12.16%"
"09/19/2025","148.24","147.58","148.24","147.58","1.82%"
"09/18/2025","145.59","146.40","146.40","145.59","-1.68%"
"09/17/2025","148.08","148.07","148.08","148.07","-0.16%"
"09/16/2025","148.31","149.30","149.30","148.31","-1.37%"
"09/15/2025","150.38","152.19","152.19","150.38","-3.93%"
"09/12/2025","156.53","157.18","157.18","156.53","0.02%"
"09/11/2025","156.50","158.30","158.30","156.50","-4.84%"
"09/10/2025","164.46","165.46","165.46","164.46","-1.11%"
"09/09/2025","166.31","166.31","166.31","166.31","-1.06%"
"09/08/2025","168.10","168.61","168.61","168.10","-0.67%"
"09/05/2025","169.24","170.09","170.09","169.24","-1.36%"
"09/04/2025","171.57","172.73","172.73","171.57","-1.52%"
"09/03/2025","174.22","174.57","174.57","174.22","-0.78%"
"09/02/2025","175.59","174.91","175.59","174.91","1.16%"
"09/01/2025","173.58","173.58","173.58","173.58","0.00%"
"08/29/2025","173.57","173.41","173.57","173.41","0.78%"
"08/28/2025","172.23","174.18","174.18","172.23","-1.09%"
"08/27/2025","174.12","174.12","174.12","173.21","0.59%"
"08/26/2025","173.10","172.21","173.10","172.21","0.49%"
"08/25/2025","172.26","172.25","172.26","172.25","0.12%"
"08/22/2025","172.05","178.10","178.10","172.05","-3.44%"
"08/21/2025","178.18","175.16","178.18","175.16","1.74%"
"08/20/2025","175.13","171.23","175.13","171.23","2.31%"
"08/19/2025","171.17","171.23","171.23","171.17","-0.04%"
"08/18/2025","171.24","171.20","171.24","171.20","-0.02%"
"08/15/2025","171.27","171.20","171.27","171.20","-0.01%"
"08/14/2025","171.29","170.71","171.29","170.71","0.38%"
"08/13/2025","170.64","173.67","173.67","170.64","-1.72%"
"08/12/2025","173.62","178.59","178.59","173.62","-2.77%"
"08/11/2025","178.57","178.57","178.57","178.57","-0.06%"
"08/08/2025","178.67","182.54","182.54","178.67","-2.13%"
"08/07/2025","182.56","184.49","184.49","182.56","-1.02%"
"08/06/2025","184.44","186.95","186.95","184.44","-1.35%"
"08/05/2025","186.96","188.40","188.40","186.96","-0.75%"
"08/04/2025","188.38","190.91","190.91","188.38","-1.05%"
"08/01/2025","190.38","185.94","190.38","185.94","2.38%"
"07/31/2025","185.96","182.96","185.96","182.96","1.56%"
"07/30/2025","183.11","180.53","183.11","180.53","1.49%"
"07/29/2025","180.43","182.48","182.48","180.43","-1.14%"
"07/28/2025","182.51","183.49","183.49","182.51","-0.52%"
"07/25/2025","183.46","183.46","183.46","183.46","-0.05%"
"07/24/2025","183.55","183.47","183.55","183.47","-0.01%"
"07/23/2025","183.56","187.42","187.42","183.56","-2.00%"
"07/22/2025","187.31","187.38","187.38","187.31","-0.01%"
"07/21/2025","187.32","187.39","187.39","187.32","0.01%"
"07/18/2025","187.31","190.77","190.77","187.31","-1.87%"
"07/17/2025","190.88","193.81","193.81","190.88","-1.42%"
"07/16/2025","193.62","194.24","194.24","193.62","-0.39%"
"07/15/2025","194.37","193.27","194.37","193.27","0.56%"
"07/14/2025","193.29","193.26","193.29","193.26","-0.03%"
"07/11/2025","193.35","184.44","193.35","184.44","4.83%"
"07/10/2025","184.45","184.42","184.45","184.42","0.07%"
"07/09/2025","184.32","188.36","188.36","184.32","-2.17%"
"07/08/2025","188.40","186.86","188.40","186.86","0.81%"
"07/07/2025","186.89","181.43","186.89","181.43","2.99%"
"07/04/2025","181.46","181.46","181.46","181.46","-0.09%"
"07/03/2025","181.62","183.38","183.38","181.62","-1.00%"
"07/02/2025","183.46","182.94","183.46","182.94","0.25%"
"07/01/2025","183.00","184.85","184.85","183.00","-1.01%"
"06/30/2025","184.86","189.34","189.34","184.86","-2.39%"
"06/27/2025","189.38","191.84","191.84","189.38","-1.18%"
"06/26/2025","191.65","188.31","191.65","188.31","1.77%"
"06/25/2025","188.31","185.41","188.31","185.41","1.64%"
"06/24/2025","185.28","193.26","193.26","185.28","-4.02%"
"06/23/2025","193.05","194.26","194.26","193.05","-0.57%"
"06/20/2025","194.15","196.16","196.16","194.15","-1.02%"
"06/19/2025","196.16","191.76","196.16","191.76","2.31%"
"06/18/2025","191.73","186.87","191.73","186.87","2.66%"
"06/17/2025","186.76","184.81","186.76","184.81","1.01%"
"06/16/2025","184.90","189.83","189.83","184.90","-2.62%"
"06/13/2025","189.87","187.79","189.87","187.79","1.12%"
"06/12/2025","187.76","184.86","187.76","184.86","1.63%"
"06/11/2025","184.74","186.36","186.36","184.74","-0.87%"
"06/10/2025","186.36","188.33","188.33","186.36","-0.99%"
"06/09/2025","188.22","189.23","189.23","188.22","-0.67%"
"06/06/2025","189.49","193.18","193.18","189.49","-1.99%"
"06/05/2025","193.33","197.15","197.15","193.33","-1.85%"
"06/04/2025","196.97","201.07","201.07","196.97","-2.06%"
"06/03/2025","201.12","202.52","202.52","201.12","-0.75%"
"06/02/2025","202.64","203.51","203.51","202.64","-0.40%"
"05/30/2025","203.45","204.00","204.00","203.45","-0.22%"
"05/29/2025","203.89","207.03","207.03","203.89","-1.52%"
"05/28/2025","207.03","206.96","207.03","206.96","0.09%"
"05/27/2025","206.85","212.79","212.79","206.85","-2.81%"
"05/26/2025","212.82","212.85","212.85","212.82","0.05%"
"05/23/2025","212.72","206.91","212.72","206.91","2.83%"
"05/22/2025","206.86","206.93","206.93","206.86","-0.11%"
"05/21/2025","207.08","206.47","207.08","206.47","0.31%"
"05/20/2025","206.45","206.96","206.96","206.45","-0.19%"
"05/19/2025","206.85","203.51","206.85","203.51","1.64%"
"05/16/2025","203.51","205.90","205.90","203.51","-1.06%"
"05/15/2025","205.70","204.45","205.70","204.45","0.55%"
"05/14/2025","204.58","209.83","209.83","204.58","-2.53%"
"05/13/2025","209.89","211.77","211.77","209.89","-1.07%"
"05/12/2025","212.15","225.60","225.60","212.15","-5.92%"
"05/09/2025","225.49","222.02","225.49","222.02","1.34%"
"05/08/2025","222.50","227.03","227.03","222.50","-1.94%"
"05/07/2025","226.90","231.39","231.39","226.90","-1.87%"
"05/06/2025","231.23","232.36","232.36","231.23","-0.50%"
"05/05/2025","232.40","232.30","232.40","232.30","-0.15%"
"05/02/2025","232.74","242.65","242.65","232.74","-4.18%"
"05/01/2025","242.89","242.15","242.89","242.15","0.40%"
"04/30/2025","241.93","236.28","241.93","236.28","2.45%"
"04/29/2025","236.14","235.39","236.14","235.39","0.41%"
"04/28/2025","235.17","235.35","235.35","235.17","-0.03%"
"04/25/2025","235.25","233.43","235.25","233.43","0.89%"
"04/24/2025","233.18","239.19","239.19","233.18","-2.60%"
"04/23/2025","239.41","248.12","248.12","239.41","-3.52%"
"04/22/2025","248.14","252.97","252.97","248.14","0.15%"
"04/21/2025","247.78","247.87","247.87","247.78","-0.06%"
"04/18/2025","247.94","247.94","247.94","247.94","-0.05%"
"04/17/2025","248.07","251.54","251.54","248.07","-1.24%"
"04/16/2025","251.18","248.88","251.18","248.88","0.96%"
"04/15/2025","248.78","257.69","257.69","248.78","-3.29%"
"04/14/2025","257.25","275.11","275.11","257.25","-6.69%"
"04/11/2025","275.69","256.60","275.69","256.52","7.47%"
"04/10/2025","256.52","246.88","256.52","246.88","3.44%"
"04/09/2025","248.00","266.82","266.82","248.00","-6.76%"
"04/08/2025","265.97","265.97","265.97","265.97","5.98%"
"04/03/2025","250.97","236.65","250.97","236.65","5.78%"
"04/02/2025","237.26","225.02","237.26","225.02","5.58%"
"04/01/2025","224.73","225.33","225.33","224.73","7.47%"
"03/25/2025","209.10","211.09","211.09","209.10","-1.07%"
"03/24/2025","211.36","219.46","219.46","211.36","-3.63%"
"03/21/2025","219.33","217.45","219.33","217.45","0.91%"
"03/20/2025","217.36","214.19","217.36","214.19","7.98%"
"03/07/2025","201.29","199.64","201.29","199.64","0.82%"
"03/06/2025","199.65","197.35","199.65","197.35","1.11%"
"03/05/2025","197.45","200.28","200.28","197.45","-1.39%"
"03/04/2025","200.23","196.22","200.23","196.22","1.72%"
"03/03/2025","196.85","196.85","196.85","196.28","1.87%"
"02/28/2025","193.24","193.24","196.63","193.24","0.19%"
"02/27/2025","192.88","192.88","193.39","192.88","-1.77%"
"02/26/2025","196.36","196.36","196.36","192.79","1.08%"
"02/25/2025","194.27","194.27","194.27","194.27","-1.53%"
