"Date","Price","Open","High","Low","Change %"
"10/20/2025","2.073","2.072","2.093","2.061","-0.77%"
"10/17/2025","2.089","2.089","2.089","2.089","0.14%"
"10/16/2025","2.086","2.086","2.086","2.086","-0.33%"
"10/15/2025","2.093","2.093","2.093","2.093","-0.05%"
"10/14/2025","2.094","2.094","2.094","2.094","-0.10%"
"10/13/2025","2.096","2.096","2.096","2.096","-0.24%"
"10/10/2025","2.101","2.101","2.101","2.101","-0.66%"
"10/09/2025","2.115","2.115","2.115","2.115","0.14%"
"10/08/2025","2.112","2.112","2.112","2.112","-0.47%"
"10/07/2025","2.122","2.122","2.122","2.122","0.14%"
"10/06/2025","2.119","2.119","2.119","2.119","-0.09%"
"10/03/2025","2.121","2.121","2.121","2.121","0.52%"
"10/02/2025","2.110","2.110","2.110","2.110","0.05%"
"10/01/2025","2.109","2.109","2.109","2.109","-0.66%"
"09/30/2025","2.123","2.123","2.123","2.123","-0.33%"
"09/29/2025","2.130","2.130","2.130","2.130","-0.37%"
"09/26/2025","2.138","2.138","2.138","2.138","0.33%"
"09/25/2025","2.131","2.131","2.131","2.131","0.38%"
"09/24/2025","2.123","2.123","2.123","2.123","0.28%"
"09/23/2025","2.117","2.117","2.117","2.117","0.00%"
"09/22/2025","2.117","2.117","2.117","2.117","-0.33%"
"09/19/2025","2.124","2.124","2.124","2.124","0.33%"
"09/18/2025","2.117","2.117","2.117","2.117","0.43%"
"09/17/2025","2.108","2.108","2.108","2.108","-0.05%"
"09/16/2025","2.109","2.109","2.109","2.109","-0.47%"
"09/15/2025","2.119","2.119","2.119","2.119","-0.05%"
"09/12/2025","2.120","2.120","2.120","2.120","-0.14%"
"09/11/2025","2.123","2.123","2.123","2.123","1.14%"
"09/10/2025","2.099","2.099","2.099","2.099","0.33%"
"09/09/2025","2.092","2.092","2.092","2.092","0.48%"
"09/08/2025","2.082","2.082","2.082","2.082","0.24%"
"09/05/2025","2.077","2.077","2.077","2.077","-0.62%"
"09/04/2025","2.090","2.090","2.090","2.090","0.38%"
"09/03/2025","2.082","2.082","2.082","2.082","-0.10%"
"09/02/2025","2.084","2.084","2.084","2.084","0.43%"
"09/01/2025","2.075","2.075","2.075","2.075","0.73%"
"08/29/2025","2.060","2.060","2.060","2.060","0.00%"
"08/28/2025","2.060","2.060","2.060","2.060","0.54%"
"08/27/2025","2.049","2.049","2.049","2.049","-0.44%"
"08/26/2025","2.058","2.058","2.058","2.058","-0.68%"
"08/25/2025","2.072","2.072","2.072","2.072","0.88%"
"08/22/2025","2.054","2.054","2.054","2.054","-0.96%"
"08/21/2025","2.074","2.074","2.074","2.074","0.53%"
"08/20/2025","2.063","2.063","2.063","2.063","-0.96%"
"08/19/2025","2.083","2.083","2.083","2.083","-0.10%"
"08/18/2025","2.085","2.085","2.085","2.085","-0.19%"
"08/15/2025","2.089","2.089","2.089","2.089","0.72%"
"08/14/2025","2.074","2.074","2.074","2.074","0.24%"
"08/13/2025","2.069","2.069","2.069","2.069","-0.29%"
"08/12/2025","2.075","2.075","2.075","2.075","0.24%"
"08/11/2025","2.070","2.070","2.070","2.070","0.34%"
"08/08/2025","2.063","2.063","2.063","2.063","0.44%"
"08/07/2025","2.054","2.054","2.054","2.054","0.10%"
"08/06/2025","2.052","2.052","2.052","2.052","0.84%"
"08/05/2025","2.035","2.035","2.035","2.035","0.00%"
"08/04/2025","2.035","2.035","2.035","2.035","-0.49%"
"08/01/2025","2.045","2.045","2.045","2.045","-1.26%"
"07/31/2025","2.071","2.071","2.071","2.071","0.44%"
"07/30/2025","2.062","2.062","2.062","2.062","0.39%"
"07/29/2025","2.054","2.054","2.054","2.054","0.15%"
"07/28/2025","2.051","2.037","2.070","2.010","0.69%"
"07/25/2025","2.037","2.024","2.059","1.989","0.64%"
"07/24/2025","2.024","1.987","2.027","1.955","1.81%"
"07/23/2025","1.988","1.968","1.998","1.951","1.07%"
"07/22/2025","1.967","1.981","1.987","1.947","-0.71%"
"07/21/2025","1.981","1.993","1.996","1.967","-0.40%"
"07/18/2025","1.989","2.003","2.015","1.975","-0.55%"
"07/17/2025","2.000","2.020","2.008","1.980","-1.28%"
"07/11/2025","2.026","2.015","2.035","1.990","0.55%"
"07/10/2025","2.015","1.997","2.019","1.960","1.15%"
"07/09/2025","1.992","1.967","2.002","1.950","0.61%"
"07/08/2025","1.980","1.965","1.988","1.934","1.12%"
"07/07/2025","1.958","1.957","1.970","1.923","1.95%"
"07/04/2025","1.921","1.975","1.996","1.920","-2.76%"
"07/03/2025","1.975","1.986","1.996","1.942","-0.55%"
"07/02/2025","1.986","1.989","2.000","1.945","-0.15%"
"07/01/2025","1.989","1.995","2.000","1.952","-0.30%"
"06/30/2025","1.995","1.991","2.001","1.953","0.15%"
"06/27/2025","1.992","1.976","1.998","1.953","0.81%"
"06/26/2025","1.976","1.980","1.989","1.942","-0.20%"
"06/25/2025","1.980","1.996","1.999","1.946","-0.80%"
"06/24/2025","1.996","1.994","2.003","1.969","0.10%"
"06/23/2025","1.994","1.998","2.016","1.969","0.61%"
"06/20/2025","1.982","1.998","2.012","1.974","-0.80%"
"06/19/2025","1.998","2.007","2.020","1.983","-0.45%"
"06/18/2025","2.007","2.019","2.034","1.992","-0.59%"
"06/17/2025","2.019","2.001","2.029","1.987","1.05%"
"06/16/2025","1.998","2.009","2.025","1.981","0.30%"
"06/13/2025","1.992","1.981","2.013","1.935","0.56%"
"06/12/2025","1.981","1.989","1.993","1.956","-0.40%"
"06/11/2025","1.989","1.974","2.002","1.953","0.00%"
"06/10/2025","1.989","2.004","2.006","1.954","-0.65%"
"06/09/2025","2.002","2.000","2.008","1.959","0.91%"
"06/06/2025","1.984","2.001","2.009","1.948","-0.70%"
"06/05/2025","1.998","1.971","2.009","1.932","1.52%"
"06/04/2025","1.968","1.975","1.981","1.932","-0.35%"
"06/03/2025","1.975","1.969","1.982","1.950","0.30%"
"06/02/2025","1.969","1.977","1.986","1.938","0.00%"
"05/30/2025","1.969","1.960","1.983","1.929","0.46%"
"05/29/2025","1.960","1.963","1.988","1.929","0.05%"
"05/28/2025","1.959","1.967","1.971","1.931","0.41%"
"05/27/2025","1.951","1.978","1.985","1.920","-1.37%"
"05/26/2025","1.978","1.992","2.006","1.957","-0.40%"
"05/23/2025","1.986","2.017","2.027","1.921","-1.54%"
"05/22/2025","2.017","2.032","2.042","1.981","-0.54%"
"05/21/2025","2.028","2.023","2.039","1.992","0.25%"
"05/20/2025","2.023","2.027","2.036","1.984","-0.20%"
"05/19/2025","2.027","2.048","2.052","1.992","-0.64%"
"05/16/2025","2.040","2.058","2.062","2.004","-0.87%"
"05/15/2025","2.058","2.083","2.084","2.019","-1.01%"
"05/14/2025","2.079","2.065","2.086","2.036","0.92%"
"05/13/2025","2.060","2.056","2.078","2.028","0.19%"
"05/12/2025","2.056","1.984","2.070","1.970","3.89%"
"05/09/2025","1.979","1.989","2.004","1.950","-0.50%"
"05/08/2025","1.989","1.970","2.003","1.941","0.96%"
"05/07/2025","1.970","1.981","1.989","1.938","-0.56%"
"05/06/2025","1.981","1.995","2.008","1.948","-0.70%"
"05/05/2025","1.995","2.000","2.006","1.955","-0.05%"
"05/02/2025","1.996","1.950","2.004","1.939","2.36%"
"05/01/2025","1.950","1.952","1.959","1.949","-0.10%"
"04/30/2025","1.952","1.978","1.983","1.927","-1.31%"
"04/29/2025","1.978","1.974","1.981","1.936","0.20%"
"04/28/2025","1.974","1.974","1.981","1.940","0.20%"
"04/25/2025","1.970","1.960","1.980","1.932","0.51%"
"04/24/2025","1.960","1.967","1.977","1.923","-0.36%"
"04/23/2025","1.967","1.965","1.980","1.925","0.10%"
"04/22/2025","1.965","1.971","1.978","1.905","0.51%"
"04/21/2025","1.955","1.971","1.955","1.955","-1.06%"
"04/18/2025","1.976","1.976","1.976","1.955","0.36%"
"04/17/2025","1.969","2.030","2.045","1.939","-3.00%"
"04/16/2025","2.030","2.046","2.046","1.994","-0.78%"
"04/15/2025","2.046","2.055","2.068","2.018","-0.44%"
"04/14/2025","2.055","2.112","2.144","2.026","-1.63%"
"04/11/2025","2.089","2.054","2.121","2.020","1.95%"
"04/10/2025","2.049","2.049","2.141","2.026","0.00%"
"04/09/2025","2.049","2.069","2.084","1.981","-0.97%"
"04/08/2025","2.069","2.107","2.114","2.017","-1.80%"
"04/07/2025","2.107","2.123","2.148","2.000","0.00%"
"04/04/2025","2.107","2.176","2.176","2.048","-3.17%"
